order_mode,week_normalized,day,order_status,order_count,sum_order_price,sum_order_mileage,sum_kent_legs,completed_count,billed_no_show_count,non_billable_no_show_count
Ambulatory,Week 1,Friday,Canceled,38,0.0,726.66,53.571904761904754,0,0,0
Ambulatory,Week 1,Friday,Completed,47,4702.159999999999,972.2499999999999,70.17142857142858,47,0,0
Ambulatory,Week 1,Friday,No show,3,45.0,26.939999999999998,3.0,0,1,2
Ambulatory,Week 1,Monday,Canceled,43,80.0,941.72,68.18571428571427,0,1,0
Ambulatory,Week 1,Monday,Completed,54,4379.2699999999995,796.48,67.58238095238096,54,0,0
Ambulatory,Week 1,Monday,No show,8,225.0,80.46000000000001,9.57952380952381,0,5,3
Ambulatory,Week 1,Saturday,Canceled,6,0.0,203.17,12.709523809523809,0,0,0
Ambulatory,Week 1,Saturday,Completed,6,276.48,15.370000000000001,6.0,6,0,0
Ambulatory,Week 1,Thursday,Canceled,8,0.0,115.94,10.324285714285715,0,0,0
Ambulatory,Week 1,Thursday,Completed,8,1087.48,285.92,19.376190476190477,8,0,0
Ambulatory,Week 1,Thursday,No show,2,56.0,9.74,2.0,0,1,1
Ambulatory,Week 1,Tuesday,Canceled,51,255.6,1256.6000000000004,87.89476190476188,0,0,0
Ambulatory,Week 1,Tuesday,Completed,51,3723.2,745.5,67.70380952380953,51,0,0
Ambulatory,Week 1,Tuesday,No show,8,135.0,268.03000000000003,16.19761904761905,0,3,5
Ambulatory,Week 1,Wednesday,Canceled,76,0.0,1739.1599999999999,123.81714285714283,0,0,0
Ambulatory,Week 1,Wednesday,Completed,59,4354.96,1008.8000000000002,79.94857142857144,59,0,0
Ambulatory,Week 1,Wednesday,No show,7,135.0,106.71000000000001,9.77,0,3,4
Ambulatory,Week 2,Friday,Canceled,66,0.0,1343.0900000000001,95.2985714285714,0,0,0
Ambulatory,Week 2,Friday,Completed,81,6346.630000000001,1440.14,117.86761904761903,81,0,0
Ambulatory,Week 2,Friday,No show,7,45.0,92.41,8.624761904761904,0,1,6
Ambulatory,Week 2,Monday,Canceled,54,370.18,1346.44,90.94190476190475,0,6,0
Ambulatory,Week 2,Monday,Completed,68,5667.91,1061.1099999999997,88.76380952380953,68,0,0
Ambulatory,Week 2,Monday,No show,9,326.90999999999997,96.23,10.284285714285714,0,5,4
Ambulatory,Week 2,Saturday,Canceled,3,0.0,34.18,4.083333333333333,0,0,0
Ambulatory,Week 2,Saturday,Completed,11,474.98,67.24,11.0,11,0,0
Ambulatory,Week 2,Thursday,Canceled,55,92.0,1812.84,116.45523809523803,0,2,0
Ambulatory,Week 2,Thursday,Completed,83,6785.24,1572.6899999999998,129.6290476190476,83,0,0
Ambulatory,Week 2,Thursday,No show,7,78.0,107.28999999999999,9.891904761904762,0,1,6
Ambulatory,Week 2,Tuesday,Canceled,62,0.0,1748.3000000000002,114.76285714285714,0,0,0
Ambulatory,Week 2,Tuesday,Completed,68,4785.1100000000015,926.15,88.59952380952383,68,0,0
Ambulatory,Week 2,Tuesday,No show,6,135.0,75.58,6.0,0,3,3
Ambulatory,Week 2,Wednesday,Canceled,63,0.0,1117.43,80.67238095238095,0,0,0
Ambulatory,Week 2,Wednesday,Completed,79,6099.18,1477.7999999999997,118.53095238095239,79,0,0
Ambulatory,Week 2,Wednesday,No show,7,225.0,44.4,7.0,0,5,2
Ambulatory,Week 3,Friday,Canceled,75,628.75,1481.6299999999999,115.81571428571428,0,2,0
Ambulatory,Week 3,Friday,Completed,82,7673.82,1515.8,113.80619047619048,82,0,0
Ambulatory,Week 3,Friday,No show,8,217.73999999999998,148.52,11.583809523809524,0,1,7
Ambulatory,Week 3,Monday,Canceled,58,0.0,1360.08,97.54761904761905,0,0,0
Ambulatory,Week 3,Monday,Completed,74,6024.620000000001,1579.8899999999994,120.36952380952383,74,0,0
Ambulatory,Week 3,Monday,No show,5,75.0,41.45,5.0,0,2,3
Ambulatory,Week 3,Saturday,Canceled,6,0.0,38.61,6.0,0,0,0
Ambulatory,Week 3,Saturday,Completed,7,275.22,16.950000000000003,7.0,7,0,0
Ambulatory,Week 3,Saturday,Unassigned,1,140.41,6.37,1.0,0,0,0
Ambulatory,Week 3,Thursday,Canceled,57,260.83,2029.71,127.2847619047619,0,0,0
Ambulatory,Week 3,Thursday,Completed,89,6525.780000000002,1234.9999999999998,113.16285714285713,89,0,0
Ambulatory,Week 3,Thursday,No show,6,135.0,104.62,7.635714285714286,0,3,3
Ambulatory,Week 3,Tuesday,Canceled,66,50.5,1459.24,106.75428571428571,0,1,0
Ambulatory,Week 3,Tuesday,Completed,102,10915.60000000001,2045.2999999999995,159.9085714285715,102,0,0
Ambulatory,Week 3,Tuesday,No show,2,0.0,13.920000000000002,2.0,0,0,2
Ambulatory,Week 3,Wednesday,Canceled,58,0.0,1547.7900000000002,103.64285714285714,0,0,0
Ambulatory,Week 3,Wednesday,Completed,84,6524.19,1570.4499999999994,121.96476190476189,84,0,0
Ambulatory,Week 3,Wednesday,No show,8,254.13,115.03,10.284285714285714,0,4,4
Ambulatory,Week 4,Friday,Canceled,71,0.0,1698.8400000000004,119.46333333333335,0,0,0
Ambulatory,Week 4,Friday,Completed,65,5469.500000000002,1051.7299999999998,89.50428571428571,65,0,0
Ambulatory,Week 4,Friday,No show,12,185.0,147.17,13.434285714285714,0,3,9
Ambulatory,Week 4,Monday,Canceled,38,642.08,477.51000000000005,43.796190476190475,0,0,0
Ambulatory,Week 4,Monday,Completed,56,4905.080000000001,811.7099999999998,76.17619047619047,56,0,0
Ambulatory,Week 4,Monday,No show,9,45.0,139.27,12.412380952380953,0,1,8
Ambulatory,Week 4,Saturday,Canceled,4,44.96,80.32,7.095238095238095,0,0,0
Ambulatory,Week 4,Saturday,Completed,7,437.54999999999995,27.000000000000004,7.0,7,0,0
Ambulatory,Week 4,Saturday,Unassigned,1,67.0,1.0,1.0,0,0,0
Ambulatory,Week 4,Thursday,Canceled,86,8970.020000000002,2478.49,164.6404761904762,0,2,0
Ambulatory,Week 4,Thursday,Completed,73,7243.33,1207.2099999999996,101.2261904761905,73,0,0
Ambulatory,Week 4,Thursday,No show,11,734.63,114.25,11.0,0,2,9
Ambulatory,Week 4,Tuesday,Canceled,99,1141.46,1884.09,150.0285714285714,0,1,0
Ambulatory,Week 4,Tuesday,Completed,61,4885.520000000001,1011.8299999999999,83.86095238095236,61,0,0
Ambulatory,Week 4,Tuesday,No show,10,89.75999999999999,150.8,14.24952380952381,0,2,8
Ambulatory,Week 4,Wednesday,Canceled,92,37.01,1908.2799999999997,142.48952380952377,0,1,0
Ambulatory,Week 4,Wednesday,Completed,90,6925.840000000002,1413.9599999999998,121.64285714285714,90,0,0
Ambulatory,Week 4,Wednesday,No show,10,81.97999999999999,231.38000000000002,16.85904761904762,0,2,8
Ambulatory,Week 5,Friday,Canceled,77,0.0,1747.5400000000004,124.5838095238095,0,0,0
Ambulatory,Week 5,Friday,Completed,76,7450.619999999999,1484.7399999999996,115.70285714285713,76,0,0
Ambulatory,Week 5,Friday,No show,9,180.0,80.81,10.285714285714285,0,4,5
Ambulatory,Week 5,Monday,Canceled,77,45.0,2087.4000000000005,143.1095238095238,0,1,0
Ambulatory,Week 5,Monday,Completed,88,7263.869999999998,1463.0399999999995,117.63714285714283,88,0,0
Ambulatory,Week 5,Monday,No show,7,45.0,182.20000000000002,13.780952380952382,0,1,6
Ambulatory,Week 5,Saturday,Canceled,6,44.96,98.25,8.904761904761905,0,0,0
Ambulatory,Week 5,Saturday,Completed,6,234.66000000000003,16.35,6.0,6,0,0
Ambulatory,Week 5,Thursday,Canceled,115,0.0,2390.3700000000003,179.15428571428575,0,0,0
Ambulatory,Week 5,Thursday,Completed,94,7423.370000000002,1757.8699999999994,141.56333333333336,94,0,0
Ambulatory,Week 5,Thursday,No show,9,135.0,155.38000000000002,12.982380952380954,0,3,6
Ambulatory,Week 5,Thursday,Unassigned,1,0.0,1.0,1.0,0,0,0
Ambulatory,Week 5,Tuesday,Canceled,104,122.33,1793.4799999999998,141.24047619047616,0,1,0
Ambulatory,Week 5,Tuesday,Completed,67,5964.069999999999,926.1899999999998,86.4057142857143,67,0,0
Ambulatory,Week 5,Tuesday,No show,10,83.97999999999999,115.61,12.769047619047619,0,1,9
Ambulatory,Week 5,Wednesday,Canceled,113,0.0,2502.4799999999996,177.8838095238096,0,0,0
Ambulatory,Week 5,Wednesday,Completed,92,7258.189999999999,1503.3700000000001,134.64619047619047,92,0,0
Ambulatory,Week 5,Wednesday,No show,7,0.0,74.33,7.0,0,0,7
Stretcher,Week 1,Monday,Canceled,2,0.0,10.56,2.0,0,0,0
Stretcher,Week 1,Monday,Completed,6,1896.52,22.099999999999998,6.0,6,0,0
Stretcher,Week 1,Saturday,Completed,2,657.0,6.0,2.0,2,0,0
Stretcher,Week 1,Thursday,Completed,2,657.0,6.0,2.0,2,0,0
Stretcher,Week 1,Tuesday,Completed,6,3456.17,105.65,9.316666666666666,6,0,0
Stretcher,Week 1,Wednesday,Completed,2,775.46,18.47,2.0,2,0,0
Stretcher,Week 2,Friday,Canceled,2,0.0,9.51,2.0,0,0,0
Stretcher,Week 2,Friday,Completed,6,3887.1800000000003,196.01999999999998,12.334285714285716,6,0,0
Stretcher,Week 2,Monday,Canceled,2,0.0,79.4,5.019047619047619,0,0,0
Stretcher,Week 2,Monday,Completed,4,2194.17,88.86,7.019047619047619,4,0,0
Stretcher,Week 2,Saturday,Completed,2,957.0,6.0,2.0,2,0,0
Stretcher,Week 2,Thursday,Completed,6,4091.64,201.7,13.795238095238096,6,0,0
Stretcher,Week 2,Tuesday,Completed,6,2651.2200000000003,34.34,6.0,6,0,0
Stretcher,Week 2,Wednesday,Canceled,7,0.0,219.01,14.795238095238096,0,0,0
Stretcher,Week 3,Friday,Canceled,1,0.0,6.0,1.0,0,0,0
Stretcher,Week 3,Friday,Completed,8,3633.76,99.08000000000001,11.029523809523809,8,0,0
Stretcher,Week 3,Saturday,Completed,4,1999.5,21.0,4.0,4,0,0
Stretcher,Week 3,Thursday,Canceled,2,0.0,6.8,2.0,0,0,0
Stretcher,Week 3,Thursday,Completed,6,3373.84,102.50999999999999,9.119523809523809,6,0,0
Stretcher,Week 3,Tuesday,Canceled,2,0.0,16.810000000000002,2.0,0,0,0
Stretcher,Week 3,Tuesday,Completed,2,957.0,6.0,2.0,2,0,0
Stretcher,Week 3,Wednesday,Completed,2,950.64,86.72,5.367619047619048,2,0,0
Stretcher,Week 4,Friday,Canceled,2,0.0,14.0,2.0,0,0,0
Stretcher,Week 4,Friday,Completed,4,2247.75,110.28999999999999,7.347142857142857,4,0,0
Stretcher,Week 4,Saturday,Completed,2,657.0,6.0,2.0,2,0,0
Stretcher,Week 4,Thursday,Canceled,2,658.0,6.0,2.0,0,0,0
Stretcher,Week 4,Thursday,Completed,8,3539.6399999999994,119.96000000000002,11.03142857142857,8,0,0
Stretcher,Week 4,Tuesday,Canceled,2,672.6700000000001,7.65,2.0,0,2,0
Stretcher,Week 4,Tuesday,Completed,8,3307.02,32.32,8.0,8,0,0
Stretcher,Week 4,Wednesday,Completed,2,733.0,14.0,2.0,2,0,0
Stretcher,Week 5,Friday,Completed,6,2736.3900000000003,89.62,9.029523809523809,6,0,0
Stretcher,Week 5,Monday,Canceled,2,0.0,26.0,2.0,0,0,0
Stretcher,Week 5,Monday,Completed,2,598.88,12.36,2.0,2,0,0
Stretcher,Week 5,Saturday,Completed,2,957.0,6.0,2.0,2,0,0
Stretcher,Week 5,Thursday,Completed,7,3509.07,122.88,10.857142857142858,7,0,0
Stretcher,Week 5,Tuesday,Canceled,2,657.0,6.0,2.0,0,2,0
Stretcher,Week 5,Tuesday,Completed,8,3773.66,140.78,12.047619047619047,8,0,0
Stretcher,Week 5,Wednesday,Canceled,1,0.0,38.48,2.451428571428571,0,0,0
Stretcher,Week 5,Wednesday,Completed,4,2494.64,104.69999999999999,7.938095238095238,4,0,0
Wheelchair,Week 1,Friday,Canceled,55,337.21999999999997,843.8199999999999,74.69380952380953,0,5,0
Wheelchair,Week 1,Friday,Completed,63,4755.3,603.5600000000001,68.86285714285714,63,0,0
Wheelchair,Week 1,Friday,No show,6,365.87,30.47,6.0,0,6,0
Wheelchair,Week 1,Monday,Canceled,76,502.99999999999994,926.3400000000001,91.08809523809524,0,8,0
Wheelchair,Week 1,Monday,Completed,61,5269.200000000002,674.03,74.14380952380952,61,0,0
Wheelchair,Week 1,Monday,No show,10,621.45,95.65,11.426190476190477,0,7,3
Wheelchair,Week 1,Saturday,Canceled,5,114.0,31.0,5.0,0,1,0
Wheelchair,Week 1,Saturday,Completed,13,1507.81,167.77,15.857142857142858,13,0,0
Wheelchair,Week 1,Saturday,No show,3,286.5,12.0,3.0,0,3,0
Wheelchair,Week 1,Thursday,Canceled,18,114.0,298.63,25.451428571428572,0,1,0
Wheelchair,Week 1,Thursday,Completed,8,671.8100000000001,52.77,8.0,8,0,0
Wheelchair,Week 1,Thursday,No show,2,118.5,45.72,3.415238095238095,0,1,1
Wheelchair,Week 1,Tuesday,Canceled,55,262.96,745.89,71.65285714285714,0,5,0
Wheelchair,Week 1,Tuesday,Completed,98,7909.750000000001,1099.7900000000002,115.09761904761905,98,0,0
Wheelchair,Week 1,Tuesday,No show,6,297.46000000000004,94.5,8.619047619047619,0,4,2
Wheelchair,Week 1,Wednesday,Canceled,62,72.0,793.65,76.65095238095238,0,1,0
Wheelchair,Week 1,Wednesday,Completed,61,4068.4,461.36,64.07380952380953,61,0,0
Wheelchair,Week 1,Wednesday,No show,3,199.5,38.0,3.0,0,3,0
Wheelchair,Week 2,Friday,Canceled,64,212.0,975.9899999999999,85.01952380952382,0,3,0
Wheelchair,Week 2,Friday,Completed,85,6755.48,1033.4300000000003,102.42714285714285,85,0,0
Wheelchair,Week 2,Friday,No show,4,194.75,28.04,4.0,0,3,1
Wheelchair,Week 2,Monday,Canceled,57,873.7400000000001,839.73,75.19047619047618,0,13,0
Wheelchair,Week 2,Monday,Completed,101,6865.610000000001,713.2299999999999,102.6704761904762,101,0,0
Wheelchair,Week 2,Monday,No show,7,411.2,70.75999999999999,8.476190476190476,0,5,2
Wheelchair,Week 2,Saturday,Canceled,7,0.0,72.0,7.0,0,0,0
Wheelchair,Week 2,Saturday,Completed,10,836.71,73.91,10.0,10,0,0
Wheelchair,Week 2,Thursday,Canceled,64,503.16999999999996,1082.3700000000001,93.14285714285714,0,8,0
Wheelchair,Week 2,Thursday,Completed,89,6313.8200000000015,822.58,99.33047619047618,89,0,0
