payer_id,week_normalized,day,order_status,order_count,sum_order_price,sum_order_mileage,sum_kent_legs,completed_count,billed_no_show_count,non_billable_no_show_count
Allendale Nursing and Rehabilitation Community,Week 2,Monday,Completed,2,190.14,33.379999999999995,2.0,2,0,0
Allendale Nursing and Rehabilitation Community,Week 5,Wednesday,Canceled,2,0.0,16.05,2.0,0,0,0
Ambrose Care Management,Week 1,Thursday,Canceled,2,0.0,120.0,6.9523809523809526,0,0,0
Ambrose Care Management,Week 1,Tuesday,Canceled,1,0.0,62.0,3.5714285714285716,0,0,0
Ambrose Care Management,Week 1,Tuesday,No show,1,0.0,63.0,3.619047619047619,0,0,1
Ambrose Care Management,Week 1,Wednesday,Canceled,2,0.0,101.0,6.0476190476190474,0,0,0
Ambrose Care Management,Week 2,Thursday,Completed,3,503.0,126.0,8.095238095238095,3,0,0
Ambrose Care Management,Week 2,Tuesday,Completed,2,435.0,120.0,6.9523809523809526,2,0,0
Ambrose Care Management,Week 2,Wednesday,Canceled,2,0.0,120.0,6.9523809523809526,0,0,0
Ambrose Care Management,Week 3,Thursday,Canceled,2,0.0,120.0,6.9523809523809526,0,0,0
Ambrose Care Management,Week 3,Tuesday,Completed,2,435.0,120.0,6.9523809523809526,2,0,0
Ambrose Care Management,Week 3,Wednesday,Canceled,2,0.0,101.0,6.0476190476190474,0,0,0
Ambrose Care Management,Week 4,Friday,Canceled,1,0.0,48.0,2.9047619047619047,0,0,0
Ambrose Care Management,Week 4,Friday,Completed,2,105.0,10.0,2.0,2,0,0
Ambrose Care Management,Week 4,Thursday,Canceled,1,202.0,59.0,3.4285714285714284,0,0,0
Ambrose Care Management,Week 4,Thursday,No show,1,233.0,61.0,3.5238095238095237,0,0,1
Ambrose Care Management,Week 4,Tuesday,Canceled,2,0.0,120.0,6.9523809523809526,0,0,0
Ambrose Care Management,Week 4,Wednesday,Canceled,2,0.0,101.0,6.0476190476190474,0,0,0
Ambrose Care Management,Week 5,Thursday,Canceled,2,0.0,120.0,6.9523809523809526,0,0,0
Ambrose Care Management,Week 5,Tuesday,Canceled,2,0.0,120.0,6.9523809523809526,0,0,0
Ambrose Care Management,Week 5,Tuesday,Completed,2,135.0,20.0,2.0,2,0,0
Ambrose Care Management,Week 5,Wednesday,Canceled,2,0.0,10.0,2.0,0,0,0
Auto Case,Week 1,Friday,Completed,4,283.0,41.0,4.0,4,0,0
Auto Case,Week 1,Monday,Completed,6,459.0,73.0,6.0,6,0,0
Auto Case,Week 1,Tuesday,Completed,4,322.0,54.0,4.0,4,0,0
Auto Case,Week 1,Wednesday,Canceled,2,0.0,28.0,2.0,0,0,0
Auto Case,Week 1,Wednesday,Completed,4,328.0,56.0,4.0,4,0,0
Auto Case,Week 2,Monday,Completed,4,370.0,70.0,4.0,4,0,0
Auto Case,Week 2,Thursday,Canceled,1,0.0,7.0,1.0,0,0,0
Auto Case,Week 2,Thursday,Completed,8,515.0,65.0,8.0,8,0,0
Auto Case,Week 2,Thursday,No show,1,0.0,6.0,1.0,0,0,1
Auto Case,Week 2,Tuesday,Completed,2,152.0,24.0,2.0,2,0,0
Auto Case,Week 2,Wednesday,Canceled,4,0.0,32.0,4.0,0,0,0
Auto Case,Week 2,Wednesday,Completed,5,350.0,50.0,5.0,5,0,0
Auto Case,Week 2,Wednesday,No show,1,0.0,4.0,1.0,0,0,1
Auto Case,Week 3,Friday,Canceled,3,0.0,44.0,3.0,0,0,0
Auto Case,Week 3,Friday,Completed,1,55.0,5.0,1.0,1,0,0
Auto Case,Week 3,Monday,Canceled,2,0.0,6.0,2.0,0,0,0
Auto Case,Week 3,Monday,Completed,3,225.0,35.0,3.0,3,0,0
Auto Case,Week 3,Thursday,Canceled,4,0.0,18.0,4.0,0,0,0
Auto Case,Week 3,Thursday,Completed,2,176.0,32.0,2.0,2,0,0
Auto Case,Week 3,Tuesday,Completed,11,875.0,145.0,11.0,11,0,0
Auto Case,Week 3,Wednesday,Completed,2,164.0,28.0,2.0,2,0,0
Auto Case,Week 4,Friday,Canceled,2,0.0,16.0,2.0,0,0,0
Auto Case,Week 4,Friday,Completed,2,176.0,32.0,2.0,2,0,0
Auto Case,Week 4,Thursday,Canceled,5,584.0,128.0,9.380952380952381,0,0,0
Auto Case,Week 4,Thursday,Completed,6,465.0,75.0,6.0,6,0,0
Auto Case,Week 4,Tuesday,Canceled,3,0.0,29.0,3.0,0,0,0
Auto Case,Week 4,Tuesday,Completed,2,176.0,32.0,2.0,2,0,0
Auto Case,Week 4,Tuesday,No show,1,0.0,5.0,1.0,0,0,1
Auto Case,Week 4,Wednesday,Completed,6,462.0,74.0,6.0,6,0,0
Auto Case,Week 5,Friday,Canceled,2,0.0,26.0,2.0,0,0,0
Auto Case,Week 5,Friday,Completed,2,194.0,38.0,2.0,2,0,0
Auto Case,Week 5,Monday,Completed,4,271.0,37.0,4.0,4,0,0
Auto Case,Week 5,Thursday,Canceled,5,0.0,36.0,5.0,0,0,0
Auto Case,Week 5,Thursday,Completed,5,344.0,48.0,5.0,5,0,0
Auto Case,Week 5,Tuesday,Canceled,7,0.0,147.0,9.238095238095237,0,0,0
Auto Case,Week 5,Tuesday,Completed,4,289.0,43.0,4.0,4,0,0
Auto Case,Week 5,Wednesday,Canceled,5,0.0,59.0,5.0,0,0,0
Auto Case,Week 5,Wednesday,Completed,8,521.0,67.0,8.0,8,0,0
Battle Creek VA,Week 1,Friday,Canceled,44,0.0,957.0,69.38095238095238,0,0,0
Battle Creek VA,Week 1,Friday,Completed,21,1402.5,146.0,21.0,21,0,0
Battle Creek VA,Week 1,Friday,No show,2,108.75,11.0,2.0,0,2,0
Battle Creek VA,Week 1,Monday,Canceled,39,42.5,432.0,44.04761904761905,0,1,0
Battle Creek VA,Week 1,Monday,Completed,22,1675.0,293.0,28.761904761904763,22,0,0
Battle Creek VA,Week 1,Monday,No show,7,352.5,38.0,7.0,0,7,0
Battle Creek VA,Week 1,Saturday,Canceled,1,0.0,2.0,1.0,0,0,0
Battle Creek VA,Week 1,Saturday,Completed,3,229.5,24.0,3.0,3,0,0
Battle Creek VA,Week 1,Thursday,Canceled,9,0.0,52.0,9.0,0,0,0
Battle Creek VA,Week 1,Tuesday,Canceled,42,59.5,825.0,63.61904761904762,0,0,0
Battle Creek VA,Week 1,Tuesday,Completed,30,2554.5,473.0,42.1904761904762,30,0,0
Battle Creek VA,Week 1,Tuesday,No show,4,198.75,25.0,4.0,0,4,0
Battle Creek VA,Week 1,Wednesday,Canceled,74,0.0,1705.0,122.19047619047618,0,0,0
Battle Creek VA,Week 1,Wednesday,Completed,29,1904.0,318.0,29.0,29,0,0
Battle Creek VA,Week 1,Wednesday,No show,5,262.5,45.0,5.0,0,5,0
Battle Creek VA,Week 2,Friday,Canceled,66,0.0,1451.0,100.47619047619047,0,0,0
Battle Creek VA,Week 2,Friday,Completed,35,2568.5,415.0,42.61904761904762,35,0,0
Battle Creek VA,Week 2,Friday,No show,2,108.75,16.0,2.0,0,2,0
Battle Creek VA,Week 2,Monday,Canceled,54,0.0,1542.0,100.61904761904759,0,0,0
Battle Creek VA,Week 2,Monday,Completed,36,2695.5,529.0,45.333333333333336,36,0,0
Battle Creek VA,Week 2,Monday,No show,3,135.0,25.0,3.0,0,3,0
Battle Creek VA,Week 2,Saturday,Canceled,1,0.0,2.0,1.0,0,0,0
Battle Creek VA,Week 2,Saturday,Completed,3,229.5,24.0,3.0,3,0,0
Battle Creek VA,Week 2,Thursday,Canceled,71,30.0,2399.0,153.76190476190473,0,1,0
Battle Creek VA,Week 2,Thursday,Completed,33,2514.0,362.0,40.42857142857143,33,0,0
Battle Creek VA,Week 2,Thursday,No show,3,127.5,71.0,4.714285714285714,0,2,1
Battle Creek VA,Week 2,Tuesday,Canceled,71,0.0,1872.0,126.33333333333331,0,0,0
Battle Creek VA,Week 2,Tuesday,Completed,34,2461.0,377.0,41.9047619047619,34,0,0
Battle Creek VA,Week 2,Tuesday,No show,4,198.75,41.0,4.0,0,4,0
Battle Creek VA,Week 2,Wednesday,Canceled,64,42.5,1309.0,93.71428571428571,0,1,0
Battle Creek VA,Week 2,Wednesday,Completed,22,1436.5,104.0,22.0,22,0,0
Battle Creek VA,Week 2,Wednesday,No show,5,225.0,34.0,5.0,0,5,0
Battle Creek VA,Week 3,Friday,Canceled,57,93.75,1276.0,91.99999999999999,0,2,0
Battle Creek VA,Week 3,Friday,Completed,22,1598.5,209.0,24.80952380952381,22,0,0
Battle Creek VA,Week 3,Friday,No show,2,127.5,35.0,2.0,0,2,0
Battle Creek VA,Week 3,Monday,Canceled,56,0.0,1493.0,102.95238095238095,0,0,0
Battle Creek VA,Week 3,Monday,Completed,29,2397.5,352.0,36.333333333333336,29,0,0
Battle Creek VA,Week 3,Monday,No show,5,266.25,51.0,5.0,0,5,0
Battle Creek VA,Week 3,Saturday,Completed,4,289.0,26.0,4.0,4,0,0
Battle Creek VA,Week 3,Thursday,Canceled,71,0.0,1848.0,122.80952380952381,0,0,0
Battle Creek VA,Week 3,Thursday,Completed,30,2364.0,314.0,35.61904761904762,30,0,0
Battle Creek VA,Week 3,Thursday,No show,4,198.75,47.0,4.0,0,4,0
Battle Creek VA,Week 3,Tuesday,Canceled,67,72.5,1613.0,117.00000000000001,0,2,0
Battle Creek VA,Week 3,Tuesday,Completed,21,1504.5,117.0,21.0,21,0,0
Battle Creek VA,Week 3,Tuesday,No show,1,63.75,9.0,1.0,0,1,0
Battle Creek VA,Week 3,Wednesday,Canceled,56,42.5,1221.0,85.28571428571429,0,1,0
Battle Creek VA,Week 3,Wednesday,Completed,28,1955.5,245.0,30.80952380952381,28,0,0
Battle Creek VA,Week 3,Wednesday,No show,3,153.75,27.0,3.0,0,3,0
Battle Creek VA,Week 4,Friday,Canceled,67,0.0,1485.0,102.76190476190477,0,0,0
Battle Creek VA,Week 4,Friday,Completed,27,2014.5,326.0,31.523809523809526,27,0,0
Battle Creek VA,Week 4,Friday,No show,2,90.0,10.0,2.0,0,2,0
Battle Creek VA,Week 4,Monday,Canceled,22,0.0,381.0,29.80952380952381,0,0,0
Battle Creek VA,Week 4,Monday,Completed,18,1224.0,65.0,18.0,18,0,0
Battle Creek VA,Week 4,Monday,No show,2,108.75,6.0,2.0,0,2,0
Battle Creek VA,Week 4,Saturday,Canceled,3,0.0,15.0,3.0,0,0,0
Battle Creek VA,Week 4,Saturday,Completed,1,85.0,11.0,1.0,1,0,0
Battle Creek VA,Week 4,Thursday,Canceled,83,7624.0,2038.0,141.99999999999997,0,2,0
Battle Creek VA,Week 4,Thursday,Completed,21,1696.5,282.0,26.952380952380953,21,0,0
Battle Creek VA,Week 4,Thursday,No show,5,436.0,88.0,7.809523809523809,0,2,3
Battle Creek VA,Week 4,Tuesday,Canceled,92,0.0,2004.0,147.6190476190476,0,0,0
Battle Creek VA,Week 4,Tuesday,Completed,26,2444.0,396.0,37.142857142857146,26,0,0
Battle Creek VA,Week 4,Tuesday,No show,2,108.75,6.0,2.0,0,2,0
Battle Creek VA,Week 4,Wednesday,Canceled,70,0.0,1856.0,123.9047619047619,0,0,0
Battle Creek VA,Week 4,Wednesday,Completed,23,1770.5,205.0,24.761904761904763,23,0,0
Battle Creek VA,Week 4,Wednesday,No show,3,172.5,18.0,3.0,0,3,0
Battle Creek VA,Week 5,Friday,Canceled,73,0.0,1694.0,115.57142857142856,0,0,0
Battle Creek VA,Week 5,Friday,Completed,23,1715.0,178.0,25.904761904761905,23,0,0
Battle Creek VA,Week 5,Friday,No show,5,243.75,63.0,6.285714285714286,0,5,0
Battle Creek VA,Week 5,Monday,Canceled,63,45.0,1750.0,115.76190476190479,0,1,0
Battle Creek VA,Week 5,Monday,Completed,24,1657.5,162.0,24.0,24,0,0
Battle Creek VA,Week 5,Monday,No show,2,108.75,12.0,2.0,0,2,0
Battle Creek VA,Week 5,Saturday,Canceled,1,0.0,2.0,1.0,0,0,0
