workbook_variant,source_sheet,source_row,section,field_label,field_name,field_value
template,Organization Intake,6,Organization details,Submission ID,submission_id,Ex-CEO-001
template,Organization Intake,6,Organization details,Organization name,organization_name,Example MEdical Center
template,Organization Intake,6,Organization details,Organization Type,organization_type,Hospital
template,Organization Intake,7,Organization details,Facility / program name,facility_program_name,Care Access Program
template,Organization Intake,7,Organization details,Primary service area / market,primary_service_area_market,Grand Rapids
template,Organization Intake,7,Organization details,"Primary city, state",primary_city_state,"Grand Rapids, Michigan"
template,Organization Intake,8,Organization details,Primary contact name,primary_contact_name,Bilbo Baggins
template,Organization Intake,8,Organization details,Title,title,Director of Care Coordination
template,Organization Intake,8,Organization details,Email,email,
template,Organization Intake,9,Organization details,Phone,phone,
template,Organization Intake,9,Organization details,Data period start,data_period_start,
template,Organization Intake,9,Organization details,Data period end,data_period_end,
template,Organization Intake,12,Commercial terms & service profile,Contract / payer name,contract_payer_name,
template,Organization Intake,12,Commercial terms & service profile,Payer type,payer_type,
template,Organization Intake,12,Commercial terms & service profile,Expected go-live timing,expected_go_live_timing,
template,Organization Intake,13,Commercial terms & service profile,Primary source of trips,primary_source_of_trips,
template,Organization Intake,13,Commercial terms & service profile,Default billing basis,default_billing_basis,
template,Organization Intake,13,Commercial terms & service profile,Average payment term (days),average_payment_term_days,
template,Organization Intake,14,Commercial terms & service profile,Trip scheduling lead time,trip_scheduling_lead_time,
template,Organization Intake,14,Commercial terms & service profile,Billable no-show allowed?,billable_no_show_allowed,
template,Organization Intake,14,Commercial terms & service profile,Billable late cancel?,billable_late_cancel,
template,Organization Intake,15,Commercial terms & service profile,Ambulatory avg price / trip,ambulatory_avg_price_trip,
template,Organization Intake,15,Commercial terms & service profile,Wheelchair avg price / trip,wheelchair_avg_price_trip,
template,Organization Intake,15,Commercial terms & service profile,Stretcher Alt. avg price / trip,stretcher_alt_avg_price_trip,
template,Organization Intake,16,Commercial terms & service profile,SecureCare avg price / trip,securecare_avg_price_trip,
template,Organization Intake,16,Commercial terms & service profile,Other mode avg price / trip,other_mode_avg_price_trip,
template,Organization Intake,16,Commercial terms & service profile,Other mode description,other_mode_description,
template,Organization Intake,26,Auto-checks,Intake completion status,intake_completion_status,Missing core fields
template,Organization Intake,27,Auto-checks,Billable protection present?,billable_protection_present,No
template,Organization Intake,28,Auto-checks,Higher-acuity pricing entered?,higher_acuity_pricing_entered,No
