scope_level,scope_label,week_normalized,day,total_revenue,total_cost,profit_margin,dollar_profit,fixed_overhead_cost,fixed_operating_cost,gas,driver_wage,total_cost_check,capx,post_capx_margin,overhead_balance_total_revenue,overhead_balance_total_cost,overhead_balance_profit_margin,office_wage_overhead,max_allowance,percent_revenue,percent_cost,source_sheet,source_row
quarter_total,Quarter four Total,,Monday,75027.5,71326.320000000007,4.9330978641164813E-2,3701.179999999993,20939,18450,5048.92,26888.400000000001,71326.320000000007,6648,-3.9276531938289387E-2,,,,,,,,Weekly Margin,6
quarter_total,Quarter four Total,,Tuesday,92000.48,74854.61,0.18636717982340958,17145.869999999995,21380,18450,5670.8099999999995,29353.800000000003,74854.61,6648,0.11410668726945768,,,,,,,,Weekly Margin,7
quarter_total,Quarter four Total,,Wednesday,77350.929999999993,74248.56,4.0107727211553833E-2,3102.3699999999953,21380,18450,5562.46,28856.100000000002,74248.56,6648,-4.5838233619169222E-2,,,,,,,,Weekly Margin,8
quarter_total,Quarter four Total,,Thursday,77601.360000000015,70832.91,8.7220765203084208E-2,6768.4500000000116,21380,18450,4961.6200000000008,25976,70767.62,6648,2.3935147528344834E-3,,,,,,,,Weekly Margin,9
quarter_total,Quarter four Total,,Friday,80297.179999999993,70959.53,0.11628864176799229,9337.6499999999942,21380,18450,5551.08,25809.699999999997,71190.78,6648,3.0616268217638458E-2,,,,,,,,Weekly Margin,10
quarter_total,Quarter four Total,,Saturday,14001.5,5586.4699999999993,0.60100917758811556,8415.0300000000007,0,1250,1605.0400000000002,3712.8,6567.84,0,0.53091883012534369,,,,,,,,Weekly Margin,11
quarter_total,Quarter four Total,,Total,416278.95,368955.73,0.11368151091954092,47323.22000000003,106459,93500,28399.93,140596.79999999999,368955.73,33240,3.3831208616241656E-2,,,,,,,,Weekly Margin,12
week,Week 1,Week 1,Monday,13248.71,13965.97,-5.4138100992474007E-2,-717.26000000000022,4276,3690,844.47,5155.5,13965.97,831,-0.11686118874969717,54586.799999999996,64900.53,-0.18894183209127488,12780,8188.0199999999986,0.2341225351183803,0.196916727798679,Weekly Margin,17
week,Week 1,Week 1,Tuesday,15980.639999999998,15111.77,5.4370162897105327E-2,868.86999999999716,4276,3690,1188.07,5957.7,15111.77,831,2.3697423882896537E-3,,,,,,,,Weekly Margin,18
week,Week 1,Week 1,Wednesday,9605.3199999999979,12800.07,-0.3326021413133558,-3194.7500000000018,4276,3690,772.67,4061.4,12800.07,831,-0.41911669782995287,,,,,,,,Weekly Margin,19
