order_status,reason,payer_id,order_mode,day,count
Canceled,Turned Down,Battle Creek VA,Ambulatory,Tuesday,151
Canceled,Turned Down,Battle Creek VA,Ambulatory,Wednesday,140
Canceled,Turned Down,Battle Creek VA,Ambulatory,Thursday,125
Canceled,Turned Down,Battle Creek VA,Ambulatory,Friday,118
Canceled,Unable to Accommodate,Battle Creek VA,Ambulatory,Wednesday,78
Canceled,Turned Down,Battle Creek VA,Ambulatory,Monday,76
Canceled,Turned Down,Battle Creek VA,Wheelchair,Friday,74
Canceled,Turned Down,Battle Creek VA,Wheelchair,Wednesday,67
Canceled,Unable to Accommodate,Battle Creek VA,Ambulatory,Friday,67
Canceled,Turned Down,Battle Creek VA,Wheelchair,Thursday,65
Canceled,Unable to Accommodate,Battle Creek VA,Ambulatory,Tuesday,63
Canceled,Turned Down,Battle Creek VA,Wheelchair,Tuesday,62
Canceled,Unable to Accommodate,Battle Creek VA,Ambulatory,Thursday,53
Canceled,Turned Down,Battle Creek VA,Wheelchair,Monday,52
Canceled,Unable to Accommodate,Battle Creek VA,Ambulatory,Monday,50
Canceled,Unable to Accommodate,Battle Creek VA,Wheelchair,Tuesday,46
Canceled,Unable to Accommodate,Battle Creek VA,Wheelchair,Thursday,41
Canceled,Unable to Accommodate,Battle Creek VA,Wheelchair,Wednesday,31
Canceled,Same Day Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Monday,28
Canceled,Same Day Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Tuesday,27
Canceled,Unable to Accommodate,Battle Creek VA,Wheelchair,Friday,27
Canceled,Confirmation Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Wednesday,26
Canceled,Unable to Accommodate,Battle Creek VA,Wheelchair,Monday,23
Canceled,Same Day Cancel,MTM,Ambulatory,Wednesday,22
Canceled,Confirmation Cancel,PP,Wheelchair,Tuesday,22
Canceled,Same Day Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Thursday,21
Canceled,Same Day Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Wednesday,21
Canceled,Unable to Accommodate,MTM,Ambulatory,Friday,21
Canceled,Confirmation Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Thursday,18
Canceled,Unable to Accommodate,MTM,Ambulatory,Wednesday,18
Canceled,Same Day Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Friday,17
Canceled,Confirmation Cancel,Valley View Care Center,Wheelchair,Tuesday,17
Canceled,Unable to Accommodate,MTM,Ambulatory,Thursday,17
Canceled,Confirmation Cancel,Battle Creek VA,Ambulatory,Wednesday,16
Canceled,Confirmation Cancel,PP,Wheelchair,Monday,16
Canceled,Confirmation Cancel,Villa at Borgess Place,Wheelchair,Tuesday,15
Canceled,Confirmation Cancel,Battle Creek VA,Wheelchair,Thursday,15
Canceled,Confirmation Cancel,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Friday,14
Canceled,Completed,MTM,Ambulatory,Tuesday,13
Canceled,Confirmation Cancel,PP,Wheelchair,Thursday,13
Canceled,Confirmation Cancel,Marshall Nursing & Rehab,Wheelchair,Tuesday,13
No show,No Show,MTM,Ambulatory,Friday,13
No show,No Show,SafeRide Health - Priority Medicaid,Ambulatory,Tuesday,13
Canceled,Same Day Cancel,Battle Creek VA,Ambulatory,Tuesday,13
Canceled,Unable to Accommodate,MTM,Ambulatory,Tuesday,12
No show,No Show,MTM,Ambulatory,Monday,12
No show,Billed no show,Battle Creek VA,Ambulatory,Monday,12
Canceled,Confirmation Cancel,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Tuesday,12
Canceled,Confirmation Cancel,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Monday,12
Canceled,Confirmation Cancel,Villa at Borgess Place,Wheelchair,Thursday,12
Canceled,Confirmation Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Friday,12
Canceled,Confirmation Cancel,Valley View Care Center,Wheelchair,Thursday,12
No show,No Show,MTM,Ambulatory,Wednesday,11
Canceled,Unable to Accommodate,PP,Wheelchair,Wednesday,11
Canceled,Same Day Cancel,MTM,Ambulatory,Thursday,11
Canceled,Completed,MTM,Ambulatory,Monday,11
No show,Billed no show,Battle Creek VA,Ambulatory,Wednesday,11
Canceled,Billed no show,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Monday,11
Canceled,Confirmation Cancel,PP,Ambulatory,Wednesday,11
Canceled,Unable to Accommodate,MTM,Ambulatory,Monday,11
No show,No Show,MTM,Ambulatory,Thursday,10
Canceled,Confirmation Cancel,Battle Creek VA,Ambulatory,Tuesday,10
Canceled,Confirmation Cancel,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Wednesday,10
Canceled,Confirmation Cancel,Holt Senior Care & Rehab Center,Wheelchair,Thursday,10
Canceled,No Show,MTM,Ambulatory,Wednesday,10
Canceled,Confirmation Cancel,Villa at Borgess Place,Wheelchair,Monday,10
Canceled,Confirmation Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Monday,10
Canceled,Confirmation Cancel,Optalis Wyoming,Wheelchair,Tuesday,10
Canceled,Confirmation Cancel,Optalis Wyoming,Wheelchair,Friday,10
