region,week,vehicle_utilization,billed_utilization,total_pool,otp,total_rides,kent_legs,revenue_per_kentleg,higher_acuity_mix
Grand Rapids,Week 1,0.5613636363636364,0.5977272727272728,733.0,0.8960000000000001,398.0,494.0,73.91000106815956,0.04568527918781726
Lansing,Week 1,0.53125,0.59375,100.0,0.756,59.0,68.0,80.52729035317749,0.0
Battle Creek,Week 1,0.384375,0.449375,242.0,0.8960000000000001,92.0,123.0,73.36629459485874,0.0
Grand Rapids,Week 2,0.9352272727272727,0.9943181818181818,1146.0,0.944,659.0,823.0,70.60708479197669,0.03343465045592705
Lansing,Week 2,0.8125,0.9175000000000001,212.0,0.924,98.0,130.0,75.61693921289432,0.02040816326530612
Battle Creek,Week 2,0.71875,0.76125,425.0,0.944,185.0,230.0,68.09429321393684,0.0
Grand Rapids,Week 3,1.007608695652174,1.063586956521739,1319.0,0.9019999999999999,744.0,927.0,68.67249745277188,0.02592087312414734
Lansing,Week 3,0.8875,0.9375,244.0,0.944,103.0,142.0,83.64424757016492,0.0196078431372549
Battle Creek,Week 3,1.05,1.156,456.0,0.9019999999999999,166.0,210.0,72.87516103824791,0.006172839506172839
Grand Rapids,Week 4,0.78125,0.8633928571428572,1026.0,0.868,577.0,700.0,73.96600919767884,0.043243243243243246
Lansing,Week 4,0.725,0.860625,185.0,0.9480000000000001,90.0,116.0,78.1443488943489,0.0
Battle Creek,Week 4,0.95,1.0675,270.0,0.868,150.0,190.0,77.77169424211897,0.0
Grand Rapids,Week 5,0.9488636363636364,0.9988636363636364,1176.0,0.834,667.0,835.0,72.24363306039396,0.038980509745127435
Lansing,Week 5,0.8625,0.9581250000000001,187.0,0.858,121.0,138.0,88.68265861400833,0.02631578947368421
Battle Creek,Week 5,1.17,1.2885,316.0,0.834,190.0,234.0,69.32558769441317,0.0
Grand Rapids,Week 5,,,0.0,,0.0,0.0,72.24363306039396,0.038980509745127435
Lansing,Week 5,,,0.0,,0.0,0.0,88.68265861400833,0.02631578947368421
Battle Creek,Week 5,,,0.0,,0.0,0.0,69.32558769441317,0.0
Grand Rapids,Week 5,,,0.0,,0.0,0.0,72.24363306039396,0.038980509745127435
Lansing,Week 5,,,0.0,,0.0,0.0,88.68265861400833,0.02631578947368421
Battle Creek,Week 5,,,0.0,,0.0,0.0,69.32558769441317,0.0
Grand Rapids,Week 5,,,0.0,,0.0,0.0,72.24363306039396,0.038980509745127435
Lansing,Week 5,,,0.0,,0.0,0.0,88.68265861400833,0.02631578947368421
Battle Creek,Week 5,,,0.0,,0.0,0.0,69.32558769441317,0.0
Grand Rapids,Week 5,,,0.0,,0.0,0.0,72.24363306039396,0.038980509745127435
Lansing,Week 5,,,0.0,,0.0,0.0,88.68265861400833,0.02631578947368421
Battle Creek,Week 5,,,0.0,,0.0,0.0,69.32558769441317,0.0
Grand Rapids,Week 5,,,0.0,,0.0,0.0,72.24363306039396,0.038980509745127435
Lansing,Week 5,,,0.0,,0.0,0.0,88.68265861400833,0.02631578947368421
Battle Creek,Week 5,,,0.0,,0.0,0.0,69.32558769441317,0.0
Grand Rapids,Week 5,,,0.0,,0.0,0.0,72.24363306039396,0.038980509745127435
Lansing,Week 5,,,0.0,,0.0,0.0,88.68265861400833,0.02631578947368421
Battle Creek,Week 5,,,0.0,,0.0,0.0,69.32558769441317,0.0
Grand Rapids,Week 5,,,0.0,,0.0,0.0,72.24363306039396,0.038980509745127435
Lansing,Week 5,,,0.0,,0.0,0.0,88.68265861400833,0.02631578947368421
Battle Creek,Week 5,,,0.0,,0.0,0.0,69.32558769441317,0.0
Grand Rapids,Week 5,,,0.0,,0.0,0.0,72.24363306039396,0.038980509745127435
Lansing,Week 5,,,0.0,,0.0,0.0,88.68265861400833,0.02631578947368421
Battle Creek,Week 5,,,0.0,,0.0,0.0,69.32558769441317,0.0
