day,hour,value,metric,is_idle_business
Monday,00:00:00,1.0,requested,False
Monday,01:00:00,0.0,requested,False
Monday,02:00:00,0.0,requested,False
Monday,03:00:00,0.0,requested,False
Monday,04:00:00,1.0,requested,False
Monday,05:00:00,31.200000000000003,requested,False
Monday,06:00:00,45.50000000000001,requested,False
Monday,07:00:00,52.00000000000001,requested,False
Monday,08:00:00,84.5,requested,False
Monday,09:00:00,167.70000000000002,requested,False
Monday,10:00:00,141.7,requested,False
Monday,11:00:00,193.7,requested,False
Monday,12:00:00,200.20000000000002,requested,False
Monday,13:00:00,89.7,requested,False
Monday,14:00:00,132.60000000000002,requested,False
Monday,15:00:00,130.0,requested,False
Monday,16:00:00,37.7,requested,False
Monday,17:00:00,23.400000000000002,requested,False
Monday,18:00:00,5.2,requested,False
Monday,19:00:00,2.6,requested,False
Monday,20:00:00,3.9000000000000004,requested,False
Monday,21:00:00,2.6,requested,False
Monday,22:00:00,0.0,requested,False
Monday,will call,0.0,requested,False
Tuesday,00:00:00,1.0,requested,False
Tuesday,01:00:00,0.0,requested,False
Tuesday,02:00:00,0.0,requested,False
Tuesday,03:00:00,0.0,requested,False
Tuesday,04:00:00,1.0,requested,False
Tuesday,05:00:00,26.000000000000004,requested,False
Tuesday,06:00:00,40.3,requested,False
Tuesday,07:00:00,44.2,requested,False
Tuesday,08:00:00,93.6,requested,False
Tuesday,09:00:00,180.70000000000002,requested,False
Tuesday,10:00:00,175.5,requested,False
Tuesday,11:00:00,195.00000000000003,requested,False
Tuesday,12:00:00,239.20000000000002,requested,False
Tuesday,13:00:00,136.5,requested,False
Tuesday,14:00:00,166.4,requested,False
Tuesday,15:00:00,195.0,requested,False
Tuesday,16:00:00,52.0,requested,False
Tuesday,17:00:00,33.8,requested,False
Tuesday,18:00:00,6.5,requested,False
Tuesday,19:00:00,0.0,requested,False
Tuesday,20:00:00,2.6,requested,False
Tuesday,21:00:00,1.3,requested,False
Tuesday,22:00:00,1.3,requested,False
Tuesday,will call,0.0,requested,False
Wednesday,00:00:00,1.0,requested,False
Wednesday,01:00:00,0.0,requested,False
Wednesday,02:00:00,0.0,requested,False
Wednesday,03:00:00,0.0,requested,False
Wednesday,04:00:00,2.0,requested,False
Wednesday,05:00:00,31.200000000000003,requested,False
Wednesday,06:00:00,53.3,requested,False
Wednesday,07:00:00,54.6,requested,False
Wednesday,08:00:00,96.2,requested,False
Wednesday,09:00:00,178.1,requested,False
Wednesday,10:00:00,183.3,requested,False
Wednesday,11:00:00,195.0,requested,False
Wednesday,12:00:00,252.20000000000002,requested,False
Wednesday,13:00:00,126.1,requested,False
Wednesday,14:00:00,162.5,requested,False
Wednesday,15:00:00,193.70000000000002,requested,False
Wednesday,16:00:00,49.4,requested,False
