scope,region,leg,day,otp
Quarter Total,Total,overall,Monday,0.0
Quarter Total,Total,overall,Tuesday,0.0
Quarter Total,Total,overall,Wednesday,0.0
Quarter Total,Total,overall,Thursday,0.0
Quarter Total,Total,overall,Friday,0.0
Quarter Total,Total,overall,Total,
Quarter Total,Total,A-leg,Monday,0.0
Quarter Total,Total,A-leg,Tuesday,0.0
Quarter Total,Total,A-leg,Wednesday,0.0
Quarter Total,Total,A-leg,Thursday,0.0
Quarter Total,Total,A-leg,Friday,0.0
Quarter Total,Total,A-leg,Total,0.0
Quarter Total,Total,B-leg,Monday,0.0
Quarter Total,Total,B-leg,Tuesday,0.0
Quarter Total,Total,B-leg,Wednesday,0.0
Quarter Total,Total,B-leg,Thursday,0.0
Quarter Total,Total,B-leg,Friday,0.0
Quarter Total,Total,B-leg,Total,0.0
Quarter Total,Grand Rapids,overall,Monday,0.0
Quarter Total,Grand Rapids,overall,Tuesday,0.0
Quarter Total,Grand Rapids,overall,Wednesday,0.0
Quarter Total,Grand Rapids,overall,Thursday,0.0
Quarter Total,Grand Rapids,overall,Friday,0.0
Quarter Total,Grand Rapids,overall,Total,0.0
Quarter Total,Grand Rapids,A-leg,Monday,0.0
Quarter Total,Grand Rapids,A-leg,Tuesday,0.0
Quarter Total,Grand Rapids,A-leg,Wednesday,0.0
Quarter Total,Grand Rapids,A-leg,Thursday,0.0
Quarter Total,Grand Rapids,A-leg,Friday,0.0
Quarter Total,Grand Rapids,A-leg,Total,0.0
Quarter Total,Grand Rapids,B-leg,Monday,0.0
Quarter Total,Grand Rapids,B-leg,Tuesday,0.0
Quarter Total,Grand Rapids,B-leg,Wednesday,0.0
Quarter Total,Grand Rapids,B-leg,Thursday,0.0
Quarter Total,Grand Rapids,B-leg,Friday,0.0
Quarter Total,Grand Rapids,B-leg,Total,0.0
Quarter Total,Lansing,overall,Monday,0.0
Quarter Total,Lansing,overall,Tuesday,0.0
Quarter Total,Lansing,overall,Wednesday,0.0
Quarter Total,Lansing,overall,Thursday,0.0
Quarter Total,Lansing,overall,Friday,0.0
Quarter Total,Lansing,overall,Total,0.0
Quarter Total,Lansing,A-leg,Monday,0.0
Quarter Total,Lansing,A-leg,Tuesday,0.0
Quarter Total,Lansing,A-leg,Wednesday,0.0
Quarter Total,Lansing,A-leg,Thursday,0.0
Quarter Total,Lansing,A-leg,Friday,0.0
Quarter Total,Lansing,A-leg,Total,0.0
Quarter Total,Lansing,B-leg,Monday,0.0
Quarter Total,Lansing,B-leg,Tuesday,0.0
Quarter Total,Lansing,B-leg,Wednesday,0.0
Quarter Total,Lansing,B-leg,Thursday,0.0
Quarter Total,Lansing,B-leg,Friday,0.0
Quarter Total,Lansing,B-leg,Total,0.0
Week 1,Total,overall,Monday,0.8680555555555556
Week 1,Total,overall,Tuesday,0.9411764705882353
Week 1,Total,overall,Wednesday,0.9407407407407408
Week 1,Total,overall,Thursday,0.84
Week 1,Total,overall,Friday,0.9090909090909091
Week 1,Total,overall,Total,0.0
Week 1,Total,A-leg,Monday,0.8314606741573034
Week 1,Total,A-leg,Tuesday,0.9052631578947369
Week 1,Total,A-leg,Wednesday,0.9125
Week 1,Total,A-leg,Thursday,0.7894736842105263
Week 1,Total,A-leg,Friday,0.8974358974358975
Week 1,Total,A-leg,Total,0.8808864265927978
Week 1,Total,B-leg,Monday,0.9272727272727272
Week 1,Total,B-leg,Tuesday,0.9866666666666667
Week 1,Total,B-leg,Wednesday,0.9818181818181818
Week 1,Total,B-leg,Thursday,1.0
Week 1,Total,B-leg,Friday,0.9302325581395349
Week 1,Total,B-leg,Total,0.9615384615384616
Week 1,Grand Rapids,overall,Monday,0.873015873015873
Week 1,Grand Rapids,overall,Tuesday,0.9403973509933775
Week 1,Grand Rapids,overall,Wednesday,0.9327731092436975
Week 1,Grand Rapids,overall,Thursday,0.84
Week 1,Grand Rapids,overall,Friday,0.9017857142857143
Week 1,Grand Rapids,overall,Total,0.9099437148217636
Week 1,Grand Rapids,A-leg,Monday,0.8354430379746836
Week 1,Grand Rapids,A-leg,Tuesday,0.8941176470588236
Week 1,Grand Rapids,A-leg,Wednesday,0.9014084507042254
Week 1,Grand Rapids,A-leg,Thursday,0.7894736842105263
Week 1,Grand Rapids,A-leg,Friday,0.8888888888888888
Week 1,Grand Rapids,A-leg,Total,0.8742331288343558
Week 1,Grand Rapids,B-leg,Monday,0.9361702127659575
Week 1,Grand Rapids,B-leg,Tuesday,1.0
Week 1,Grand Rapids,B-leg,Wednesday,0.9791666666666666
Week 1,Grand Rapids,B-leg,Thursday,1.0
Week 1,Grand Rapids,B-leg,Friday,0.925
Week 1,Grand Rapids,B-leg,Total,0.966183574879227
Week 1,Lansing,overall,Monday,0.8333333333333334
Week 1,Lansing,overall,Tuesday,0.9473684210526315
Week 1,Lansing,overall,Wednesday,1.0
Week 1,Lansing,overall,Thursday,0.0
Week 1,Lansing,overall,Friday,1.0
Week 1,Lansing,overall,Total,0.9354838709677419
Week 1,Lansing,A-leg,Monday,0.8
Week 1,Lansing,A-leg,Tuesday,1.0
Week 1,Lansing,A-leg,Wednesday,1.0
Week 1,Lansing,A-leg,Thursday,0.0
Week 1,Lansing,A-leg,Friday,1.0
Week 1,Lansing,A-leg,Total,0.9428571428571428
Week 1,Lansing,B-leg,Monday,0.875
Week 1,Lansing,B-leg,Tuesday,0.8888888888888888
Week 1,Lansing,B-leg,Wednesday,1.0
Week 1,Lansing,B-leg,Thursday,0.0
Week 1,Lansing,B-leg,Friday,1.0
Week 1,Lansing,B-leg,Total,0.9259259259259259
Week 2,Total,overall,Monday,0.9214659685863874
