payer_id,kent_legs,revenue,trips,vol_share,rev_share,over_20pct_vol,over_20pct_rev,near_cap
SafeRide Health - Priority Medicaid,1201.0119047619048,54373.94,840,0.2270897842573893,0.14168712408044568,True,False,True
Battle Creek VA,750.5714285714286,48243.5,641,0.141919578905287,0.1257124786354452,False,False,False
MTM,659.6004761904762,36955.82,428,0.12471860540288433,0.09629914355727423,False,False,False
Valley View Care Center,164.0,31776.0,164,0.031009455002525596,0.08280161516307705,False,False,False
PP,303.2857142857143,22765.0,279,0.05734588237836397,0.059320832363653354,False,False,False
Optalis - Muskegon,75.10333333333334,22091.01,39,0.014200691680120005,0.057564555280201615,False,False,False
Corewell Health Rehab & Nursing Center-Leffingwell,161.35761904761904,10142.42,151,0.030509828214462256,0.02642902686500176,False,False,False
Optalis at Kent-Crossing,124.0,9905.71,124,0.023446173294592525,0.025812210074806264,False,False,False
Kent County MDHHS,58.83714285714286,9311.27,45,0.01112504715796184,0.02426322366627343,False,False,False
Bronson Battle Creek Hospital,62.54190476190476,8104.38,34,0.011825551106625165,0.02111832055310103,False,False,False
Auto Case,95.0,7172.0,95,0.017962794056341047,0.018688733130337,False,False,False
Optalis Wyoming,107.0,7012.0,107,0.02023177856872097,0.018271806568589382,False,False,False
U of M Health - West,61.66952380952381,6965.0,45,0.011660599534137863,0.018149334391076022,False,False,False
Marshall Nursing & Rehab,90.51285714285714,6526.63,74,0.01711435591903327,0.017007033785617874,False,False,False
Holt Senior Care & Rehab Center,83.04761904761905,6496.75,79,0.015702813450756286,0.016929172750211507,False,False,False
Corewell Health - Mission Control,44.23142857142857,6433.17,10,0.00836336886575085,0.016763496557737047,False,False,False
Harold and Grace Upjohn Community Care Center,121.0,5717.8,121,0.022878927166497545,0.014899391842253334,False,False,False
Rehabilitation Management and Consulting,73.95238095238095,5379.0,70,0.013983067252881025,0.014016549847752751,False,False,False
Ingham County Medical Care Facility,59.095238095238095,4118.0,57,0.011173848332791598,0.010730647382979333,False,False,False
Villa at Borgess Place,51.0,3986.4300000000003,51,0.009643184177614667,0.010387803459672244,False,False,False
Corewell Heath Nursing and Rehab Cedar,48.0,3839.0,48,0.009075938049519687,0.010003631690931923,False,False,False
OBC,32.285714285714285,3428.5,30,0.006104648807117408,0.008933954480948188,False,False,False
Jackson County MDHHS,21.464285714285715,3341.4700000000003,12,0.004058510987917658,0.008707172489267594,False,False,False
Dimondale NCC,40.0,3218.0,40,0.007563281707933072,0.008385435473148978,False,False,False
