payer_id,revenue,kent_legs,trips,revenue_per_kentleg,lift_vs_70
Allendale Nursing and Rehabilitation Community,190.14,2.0,2,95.07,25.069999999999993
Ambrose Care Management,1613.0,26.0,11,62.03846153846154,-7.96153846153846
Auto Case,7172.0,95.0,95,75.49473684210527,5.494736842105269
Battle Creek VA,48243.5,750.5714285714286,641,64.2756947087933,-5.724305291206704
Bronson Battle Creek Hospital,8104.38,62.54190476190476,34,129.58319755135605,59.58319755135605
Bronson Battle Creek Hospital - ED,2552.0,20.095238095238095,15,126.99526066350711,56.99526066350711
Bronson Battle Creek Hospital - Social Work,2449.12,29.367619047619048,24,83.39525230250356,13.395252302503565
Bronson Behavioral Health Hospital,3164.52,32.36571428571428,21,97.77383474576271,27.773834745762713
Bronson Cancer Center,167.35,3.0,3,55.78333333333333,-14.216666666666669
Burcham Hills,2713.0,34.285714285714285,28,79.12916666666666,9.129166666666663
Calhoun County MDHHS,171.78,2.0,2,85.89,15.89
Care and Consulting Management,300.0,4.666666666666666,2,64.28571428571429,-5.714285714285708
Corewell Health - Auto,498.24,6.0,6,83.04,13.040000000000006
Corewell Health - Mission Control,6433.17,44.23142857142857,10,145.4434145081067,75.44341450810671
Corewell Health Hospice & Palliative Care West Mic,361.0,4.761904761904762,1,75.81,5.810000000000002
Corewell Health Nursing and Rehab Cedar - PP,294.24,1.0,1,294.24,224.24
Corewell Health Rehab & Nursing Center - Kentridge,2861.0,44.0,44,65.02272727272727,-4.977272727272734
Corewell Health Rehab & Nursing Center-Leffingwell,10142.42,161.35761904761904,151,62.856777757775546,-7.143222242224454
Corewell Heath Nursing and Rehab Cedar,3839.0,48.0,48,79.97916666666667,9.979166666666671
Covenant Living of the Great Lakes,1934.0,30.0,30,64.46666666666667,-5.533333333333331
Dimondale NCC,3218.0,40.0,40,80.45,10.450000000000003
EC,360.0,5.0,5,72.0,2.0
Freedom Village,220.5,4.0,4,55.125,-14.875
Friendship Village of Kalamazoo,1268.0,21.0,21,60.38095238095238,-9.61904761904762
Gentiva Hospice,97.08,1.0,1,97.08,27.08
Harbor Post-Acute Center,452.0,7.0,7,64.57142857142857,-5.428571428571431
Harold and Grace Upjohn Community Care Center,5717.8,121.0,121,47.25454545454546,-22.745454545454542
Holt Senior Care & Rehab Center,6496.75,83.04761904761905,79,78.22921444954127,8.229214449541274
Ingham County Medical Care Facility,4118.0,59.095238095238095,57,69.68412570507655,-0.31587429492344654
Intersect Health of Forest Hills,1926.5,31.0,31,62.145161290322584,-7.854838709677416
Jackson County MDHHS,3341.4700000000003,21.464285714285715,12,155.67580698835275,85.67580698835275
Kent County MDHHS,9311.27,58.83714285714286,45,158.2549652794639,88.2549652794639
Laurels of Hudsonville,1989.53,15.0,15,132.63533333333334,62.635333333333335
Longevity Health - General,1399.32,7.367619047619048,4,189.9283867631851,119.9283867631851
Longevity Health Plan - Dobie Road,2842.16,20.0,20,142.108,72.108
Longevity Health Plan - Lake Woods,385.31,4.0,4,96.3275,26.3275
MFB - Auto Inpatient,136.0,2.0,2,68.0,-2.0
MFB - Discharge - Private Pay,970.0,13.38095238095238,6,72.49110320284699,2.491103202846986
MTM,36955.82,659.6004761904762,428,56.027582353242686,-13.972417646757314
"Managed Rehabilitation Consultants, Inc.",2442.75,49.42476190476191,36,49.4236068290427,-20.576393170957303
Marshall Nursing & Rehab,6526.63,90.51285714285714,74,72.10721444467242,2.1072144446724224
Mary Free Bed Rehabilitation Sub-Acute,2691.0,36.0,36,74.75,4.75
Mary Free Bed-Discharge,1134.6200000000001,16.68857142857143,7,67.98784454716659,-2.0121554528334116
Mary Free Bed-Inpatient,472.48,7.0,7,67.49714285714286,-2.5028571428571382
Northwood Inc.,387.36,8.0,8,48.42,-21.58
OBC,3428.5,32.285714285714285,30,106.1924778761062,36.192477876106196
OpenBed,95.0,1.0,1,95.0,25.0
Optalis - Muskegon,22091.01,75.10333333333334,39,294.1415383249744,224.14153832497442
Optalis Healthcare of Grand Rapids,2174.0,33.0,33,65.87878787878788,-4.121212121212125
Optalis Whitehall,738.0,8.0,8,92.25,22.25
Optalis Wyoming,7012.0,107.0,107,65.53271028037383,-4.467289719626166
Optalis at Kent-Crossing,9905.71,124.0,124,79.88475806451612,9.88475806451612
Optalis at Leonard,2702.0,47.0,47,57.48936170212766,-12.51063829787234
PP,22765.0,303.2857142857143,279,75.06123410268488,5.061234102684878
Plainwell Pines Nursing & Rehabilitation Center,3018.73,36.0,36,83.8536111111111,13.853611111111107
RYW,0.0,57.0,57,0.0,-70.0
Rehabilitation Management and Consulting,5379.0,73.95238095238095,70,72.73599484867998,2.7359948486799794
Resthaven Care Center,1598.31,14.91952380952381,8,107.12875426893491,37.12875426893491
SafeRide Health - Humana,705.01,11.086190476190476,9,63.593531205704224,-6.406468794295776
SafeRide Health - Meridian Medicaid,1808.46,45.09761904761905,16,40.10100839448815,-29.898991605511853
SafeRide Health - Priority Medicaid,54373.94,1201.0119047619048,840,45.27343965901769,-24.72656034098231
Saginaw Nursing and Rehab,727.77,12.0,12,60.6475,-9.3525
Select Specialty Hospital,229.0,2.6704761904761902,1,85.7524964336662,15.752496433666195
