payer_id,order_mode,revenue,kent_legs,trips,revenue_per_kentleg
Allendale Nursing and Rehabilitation Community,Wheelchair,190.14,2.0,2,95.07
Ambrose Care Management,Wheelchair,1613.0,26.0,11,62.03846153846154
Auto Case,Ambulatory,5022.0,63.0,63,79.71428571428571
Auto Case,Wheelchair,2150.0,32.0,32,67.1875
Battle Creek VA,Ambulatory,26041.5,464.85714285714283,399,56.02043638598648
Battle Creek VA,Wheelchair,22202.0,285.7142857142857,242,77.707
Bronson Battle Creek Hospital,Ambulatory,8104.38,62.54190476190476,34,129.58319755135605
Bronson Battle Creek Hospital - ED,Ambulatory,2552.0,20.095238095238095,15,126.99526066350711
Bronson Battle Creek Hospital - Social Work,Ambulatory,2381.65,28.367619047619048,23,83.9566407036863
Bronson Battle Creek Hospital - Social Work,Wheelchair,67.47,1.0,1,67.47
Bronson Behavioral Health Hospital,Ambulatory,3164.52,32.36571428571428,21,97.77383474576271
Bronson Cancer Center,Ambulatory,167.35,3.0,3,55.78333333333333
Burcham Hills,Wheelchair,2713.0,34.285714285714285,28,79.12916666666666
Calhoun County MDHHS,Ambulatory,171.78,2.0,2,85.89
Care and Consulting Management,Wheelchair,300.0,4.666666666666666,2,64.28571428571429
Corewell Health - Auto,Wheelchair,498.24,6.0,6,83.04
Corewell Health - Mission Control,Ambulatory,6433.17,44.23142857142857,10,145.4434145081067
Corewell Health Hospice & Palliative Care West Mic,Wheelchair,361.0,4.761904761904762,1,75.81
Corewell Health Nursing and Rehab Cedar - PP,Stretcher,294.24,1.0,1,294.24
Corewell Health Rehab & Nursing Center - Kentridge,Ambulatory,214.0,4.0,4,53.5
Corewell Health Rehab & Nursing Center - Kentridge,Wheelchair,2647.0,40.0,40,66.175
Corewell Health Rehab & Nursing Center-Leffingwell,Ambulatory,88.64,2.0,2,44.32
Corewell Health Rehab & Nursing Center-Leffingwell,Stretcher,1170.56,4.0,4,292.64
Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,8883.22,155.35761904761904,145,57.17917186460731
Corewell Heath Nursing and Rehab Cedar,Ambulatory,76.0,2.0,2,38.0
Corewell Heath Nursing and Rehab Cedar,Stretcher,1380.0,4.0,4,345.0
Corewell Heath Nursing and Rehab Cedar,Wheelchair,2383.0,42.0,42,56.73809523809524
Covenant Living of the Great Lakes,Ambulatory,106.0,2.0,2,53.0
Covenant Living of the Great Lakes,Wheelchair,1828.0,28.0,28,65.28571428571429
Dimondale NCC,Wheelchair,3218.0,40.0,40,80.45
EC,Wheelchair,360.0,5.0,5,72.0
Freedom Village,Wheelchair,220.5,4.0,4,55.125
Friendship Village of Kalamazoo,Ambulatory,62.0,1.0,1,62.0
Friendship Village of Kalamazoo,Wheelchair,1206.0,20.0,20,60.3
Gentiva Hospice,Wheelchair,97.08,1.0,1,97.08
Harbor Post-Acute Center,Ambulatory,105.0,2.0,2,52.5
Harbor Post-Acute Center,Wheelchair,347.0,5.0,5,69.4
Harold and Grace Upjohn Community Care Center,Ambulatory,238.0,6.0,6,39.666666666666664
Harold and Grace Upjohn Community Care Center,Wheelchair,5479.8,115.0,115,47.6504347826087
Holt Senior Care & Rehab Center,Ambulatory,50.0,1.0,1,50.0
Holt Senior Care & Rehab Center,Stretcher,1219.75,5.0476190476190474,1,241.64858490566039
Holt Senior Care & Rehab Center,Wheelchair,5227.0,77.0,77,67.88311688311688
Ingham County Medical Care Facility,Ambulatory,118.0,2.0,2,59.0
Ingham County Medical Care Facility,Wheelchair,4000.0,57.095238095238095,55,70.05838198498749
Intersect Health of Forest Hills,Ambulatory,491.0,9.0,9,54.55555555555556
Intersect Health of Forest Hills,Wheelchair,1435.5,22.0,22,65.25
Jackson County MDHHS,Ambulatory,2200.68,11.149047619047618,8,197.38726348609748
Jackson County MDHHS,Wheelchair,1140.79,10.315238095238096,4,110.59269688856061
Kent County MDHHS,Ambulatory,7687.32,45.83714285714286,32,167.7094059714517
Kent County MDHHS,Wheelchair,1623.95,13.0,13,124.91923076923078
Laurels of Hudsonville,Ambulatory,605.45,5.0,5,121.09
Laurels of Hudsonville,Wheelchair,1384.08,10.0,10,138.408
Longevity Health - General,Stretcher,950.64,5.367619047619048,2,177.10645848119233
Longevity Health - General,Wheelchair,448.67999999999995,2.0,2,224.33999999999997
Longevity Health Plan - Dobie Road,Wheelchair,2842.16,20.0,20,142.108
Longevity Health Plan - Lake Woods,Wheelchair,385.31,4.0,4,96.3275
MFB - Auto Inpatient,Wheelchair,136.0,2.0,2,68.0
MFB - Discharge - Private Pay,Wheelchair,970.0,13.38095238095238,6,72.49110320284699
MTM,Ambulatory,27561.54,516.8676190476191,320,53.32417621901896
MTM,Wheelchair,9394.28,142.73285714285714,108,65.81722098225457
"Managed Rehabilitation Consultants, Inc.",Ambulatory,2442.75,49.42476190476191,36,49.4236068290427
Marshall Nursing & Rehab,Ambulatory,1054.65,17.103809523809524,12,61.66170165376692
Marshall Nursing & Rehab,Wheelchair,5471.98,73.40904761904761,62,74.54094798227804
Mary Free Bed Rehabilitation Sub-Acute,Wheelchair,2691.0,36.0,36,74.75
Mary Free Bed-Discharge,Wheelchair,1134.6200000000001,16.68857142857143,7,67.98784454716659
Mary Free Bed-Inpatient,Wheelchair,472.48,7.0,7,67.49714285714286
Northwood Inc.,Ambulatory,387.36,8.0,8,48.42
OBC,Ambulatory,153.0,2.0,2,76.5
OBC,Wheelchair,3275.5,30.285714285714285,28,108.15330188679246
OpenBed,Ambulatory,95.0,1.0,1,95.0
Optalis - Muskegon,Stretcher,22091.01,75.10333333333334,39,294.1415383249744
Optalis Healthcare of Grand Rapids,Ambulatory,363.0,6.0,6,60.5
Optalis Healthcare of Grand Rapids,Wheelchair,1811.0,27.0,27,67.07407407407408
Optalis Whitehall,Wheelchair,738.0,8.0,8,92.25
Optalis Wyoming,Wheelchair,7012.0,107.0,107,65.53271028037383
Optalis at Kent-Crossing,Stretcher,2508.07,6.0,6,418.0116666666667
Optalis at Kent-Crossing,Wheelchair,7397.64,118.0,118,62.691864406779665
Optalis at Leonard,Wheelchair,2702.0,47.0,47,57.48936170212766
PP,Ambulatory,6999.5,103.38095238095238,90,67.70589590050668
PP,Stretcher,1521.5,5.857142857142858,2,259.7682926829268
PP,Wheelchair,14244.0,194.04761904761904,187,73.40466257668712
Plainwell Pines Nursing & Rehabilitation Center,Ambulatory,320.89,5.0,5,64.178
Plainwell Pines Nursing & Rehabilitation Center,Wheelchair,2697.84,31.0,31,87.02709677419355
RYW,Ambulatory,0.0,56.0,56,0.0
RYW,Wheelchair,0.0,1.0,1,0.0
Rehabilitation Management and Consulting,Ambulatory,828.0,12.0,12,69.0
Rehabilitation Management and Consulting,Wheelchair,4551.0,61.952380952380956,58,73.45964642582628
Resthaven Care Center,Stretcher,728.38,2.0,2,364.19
Resthaven Care Center,Wheelchair,869.93,12.91952380952381,6,67.3345250820095
SafeRide Health - Humana,Wheelchair,705.01,11.086190476190476,9,63.593531205704224
SafeRide Health - Meridian Medicaid,Ambulatory,1808.46,45.09761904761905,16,40.10100839448815
SafeRide Health - Priority Medicaid,Ambulatory,36320.12,871.6561904761904,568,41.66794247185708
SafeRide Health - Priority Medicaid,Wheelchair,18053.82,329.35571428571427,272,54.81556632212675
Saginaw Nursing and Rehab,Ambulatory,173.06,4.0,4,43.265
Saginaw Nursing and Rehab,Wheelchair,554.71,8.0,8,69.33875
Select Specialty Hospital,Wheelchair,229.0,2.6704761904761902,1,85.7524964336662
SkyView Case MGT,Ambulatory,788.66,13.105238095238096,4,60.178990589004755
The Courtyard at Delta's,Ambulatory,430.0,8.0,8,53.75
The Courtyard at Delta's,Wheelchair,162.0,2.0,2,81.0
The Oaks at Jamestown,Wheelchair,680.0,8.0,8,85.0
The Oaks of Jamestown PP,Wheelchair,210.89,2.0,2,105.445
The Willows at East Lansing,Stretcher,1522.0,5.857142857142858,2,259.8536585365853
The Willows at East Lansing,Wheelchair,314.0,4.0,4,78.5
The Willows at East Lansing Private Pay,Wheelchair,110.0,2.0,2,55.0
U of M Health - West,Ambulatory,6014.0,46.66952380952381,30,128.86353896700203
U of M Health - West,Wheelchair,951.0,15.0,15,63.4
Valley View Care Center,Ambulatory,263.0,4.0,4,65.75
Valley View Care Center,Stretcher,23306.0,54.0,54,431.5925925925926
Valley View Care Center,Wheelchair,8207.0,106.0,106,77.4245283018868
Villa at Borgess Place,Wheelchair,3986.4300000000003,51.0,51,78.16529411764706
