workbook,sheet,state,max_row,max_col
Q1 Daily Metrics 2026.xlsx,Total Performance,visible,135.0,44.0
Q1 Daily Metrics 2026.xlsx,Regional Performance,visible,136.0,99.0
Q1 Daily Metrics 2026.xlsx,Mode Breakdown,visible,17961.0,25.0
Q1 Daily Metrics 2026.xlsx,OTP,visible,281.0,37.0
Q1 Daily Metrics 2026.xlsx,Contract Volume,visible,17929.0,39.0
Q1 Daily Metrics 2026.xlsx,Heat Map,visible,579.0,80.0
Q1 Daily Metrics 2026.xlsx,Revenue by Payer,visible,17929.0,65.0
Q1 Daily Metrics 2026.xlsx,Weekly Margin,visible,155.0,32.0
Q1 Daily Metrics 2026.xlsx,Corewell Metrics,hidden,71.0,53.0
Q1 Daily Metrics 2026.xlsx,Vehicle Breakdown,visible,2615.0,67.0
Q1 Daily Metrics 2026.xlsx,SecureCare Profit,visible,155.0,35.0
Q1 Daily Metrics 2026.xlsx,Sheet2,hidden,1.0,1.0
RideYourWay_Prospective_Market_Intake_Template.xlsx,Start Here,visible,,
RideYourWay_Prospective_Market_Intake_Template.xlsx,Organization Intake,visible,,
RideYourWay_Prospective_Market_Intake_Template.xlsx,Trip Demand Input,visible,,
RideYourWay_Prospective_Market_Intake_Template.xlsx,Summary Preview,visible,,
RideYourWay_Prospective_Market_Intake_Template.xlsx,Lists,visible,,
RideYourWay_Prospective_Market_Intake_Example.xlsx,Start Here,visible,,
RideYourWay_Prospective_Market_Intake_Example.xlsx,Organization Intake,visible,,
RideYourWay_Prospective_Market_Intake_Example.xlsx,Trip Demand Input,visible,,
RideYourWay_Prospective_Market_Intake_Example.xlsx,Summary Preview,visible,,
RideYourWay_Prospective_Market_Intake_Example.xlsx,Lists,visible,,
