week_normalized,order_mode,sum_order_price,sum_kent_legs,sum_order_mileage,completed_count,billed_no_show_count,non_billable_no_show_count,revenue_per_kent_leg,non_billable_rate_completed_branch,kent_leg_recon_delta,vehicle_rows,total_road_hours,total_kent_legs,total_revenue_x,total_mileage,road_hours_per_vehicle_row,revenue_per_kent_leg_vehicle_grain,kent_legs_per_road_hour,total_revenue_y,total_cost,profit_margin,contract_concentration_revenue,kent_alt_div85,kent_canonical_from_miles,kent_branch_gap
Week 1,Ambulatory,18523.55,310.782380952381,3824.32,225,0,0,59.60296057722214,0.0,144.782380952381,117,991.2908333333334,671.1342857142857,53385.11,20791,8.472571225071226,79.5446025279165,0.6770306585581114,109173.59999999999,129801.06,-0.3630525828552694,0.16120971596656852,449.92,166.0,144.782380952381
Week 1,Stretcher,7442.15,21.316666666666666,158.22,18,0,0,349.12353401094606,0.0,14.316666666666666,117,991.2908333333334,671.1342857142857,53385.11,20791,8.472571225071226,79.5446025279165,0.6770306585581114,109173.59999999999,129801.06,-0.3630525828552694,0.16120971596656852,18.614117647058823,7.0,14.316666666666666
Week 1,Wheelchair,24182.270000000004,346.03523809523807,3059.28,304,0,0,69.8838364933932,0.0,213.03523809523807,117,991.2908333333334,671.1342857142857,53385.11,20791,8.472571225071226,79.5446025279165,0.6770306585581114,109173.59999999999,129801.06,-0.3630525828552694,0.16120971596656852,359.9152941176471,133.0,213.03523809523807
Week 2,Ambulatory,30159.050000000003,554.3909523809524,6545.129999999999,390,0,0,54.400328631763216,0.0,269.3909523809524,171,1484.9347222222223,1172.1095238095238,87194.77,32950,8.683828784925277,74.39131602361229,0.7893340402569671,176938.64,154515.28,0.1735569208570437,0.17458580446574126,770.0152941176469,285.0,269.3909523809524
Week 2,Stretcher,13781.21,41.14857142857143,526.92,24,0,0,334.91344952089986,0.0,18.14857142857143,171,1484.9347222222223,1172.1095238095238,87194.77,32950,8.683828784925277,74.39131602361229,0.7893340402569671,176938.64,154515.28,0.1735569208570437,0.17458580446574126,61.99058823529411,23.0,18.14857142857143
Week 2,Wheelchair,39435.82000000001,586.5699999999999,5188.0599999999995,528,0,0,67.2312255996727,0.0,360.56999999999994,171,1484.9347222222223,1172.1095238095238,87194.77,32950,8.683828784925277,74.39131602361229,0.7893340402569671,176938.64,154515.28,0.1735569208570437,0.17458580446574126,610.3599999999999,226.0,360.56999999999994
Week 3,Ambulatory,37939.23000000001,636.2119047619049,7963.389999999998,438,0,0,59.63300861872168,0.0,290.21190476190486,166,1466.2644444444445,1244.7490476190476,92985.85,35669,8.832918340026774,74.7024873631059,0.8489253438118202,191137.44,154816.44,0.233802094676685,0.18865506450214825,936.8694117647055,346.0,290.21190476190486
Week 3,Stretcher,10914.74,31.516666666666662,315.31,22,0,0,346.31644632469596,0.0,17.516666666666662,166,1466.2644444444445,1244.7490476190476,92985.85,35669,8.832918340026774,74.7024873631059,0.8489253438118202,191137.44,154816.44,0.233802094676685,0.18865506450214825,37.09529411764706,14.0,17.516666666666662
Week 3,Wheelchair,40254.69,587.0204761904762,5172.650000000001,537,0,0,68.57459259553696,0.0,362.0204761904762,166,1466.2644444444445,1244.7490476190476,92985.85,35669,8.832918340026774,74.7024873631059,0.8489253438118202,191137.44,154816.44,0.233802094676685,0.18865506450214825,608.5470588235295,225.0,362.0204761904762
Week 4,Ambulatory,29866.820000000007,479.4104761904762,5523.439999999999,352,0,0,62.29905578478331,0.0,239.41047619047617,158,1331.8730555555555,940.8252380952381,80070.81999999999,27341,8.429576300984529,85.10700686783082,0.706392575606838,165758.72,146674.64,0.16464557295944338,0.17538292574262557,649.8164705882351,240.0,239.41047619047617
Week 4,Stretcher,10484.41,30.378571428571426,282.57000000000005,24,0,0,345.12518222431225,0.0,18.378571428571426,158,1331.8730555555555,940.8252380952381,80070.81999999999,27341,8.429576300984529,85.10700686783082,0.706392575606838,165758.72,146674.64,0.16464557295944338,0.17538292574262557,33.24352941176471,12.0,18.378571428571426
Week 4,Wheelchair,32035.520000000004,453.1314285714286,3829.0099999999998,413,0,0,70.69807561350854,0.0,286.1314285714286,158,1331.8730555555555,940.8252380952381,80070.81999999999,27341,8.429576300984529,85.10700686783082,0.706392575606838,165758.72,146674.64,0.16464557295944338,0.17538292574262557,450.4717647058823,167.0,286.1314285714286
Week 5,Ambulatory,35594.78,601.9552380952381,7151.559999999998,423,0,0,59.13193830264234,0.0,290.9552380952381,160,1413.6083333333333,1201.7961904761905,93350.97,30992,8.835052083333334,77.6762072802139,0.8501620725751644,189549.5,149809.38,0.2541632059702686,0.14897358238571795,841.3599999999997,311.0,290.9552380952381
Week 5,Stretcher,14069.64,43.87238095238095,476.34,29,0,0,320.6946989102592,0.0,22.87238095238095,160,1413.6083333333333,1201.7961904761905,93350.97,30992,8.835052083333334,77.6762072802139,0.8501620725751644,189549.5,149809.38,0.2541632059702686,0.14897358238571795,56.04,21.0,22.87238095238095
Week 5,Wheelchair,39076.75,564.9685714285715,4731.360000000001,521,0,0,69.1662368071043,0.0,358.9685714285715,160,1413.6083333333333,1201.7961904761905,93350.97,30992,8.835052083333334,77.6762072802139,0.8501620725751644,189549.5,149809.38,0.2541632059702686,0.14897358238571795,556.6305882352942,206.0,358.9685714285715
