,vehicle_utilization,billed_utilization,total_volume_pool,revenue_per_kent_leg,high_acuity_share,non_billable_noshow,road_hours_per_vehicle,contract_concentration,cost_per_road_hour,label_ready
vehicle_utilization,1.0,0.3551919118981623,0.3826568285155618,0.35739843227346774,0.31893499068248965,-0.4185869532348665,0.37361813408936023,-0.41676114554681326,-0.4066793169074188,0.3752591666862797
billed_utilization,0.3551919118981623,1.0,0.39504124276456143,0.3981147449807155,0.35292081596236824,-0.450982265046602,0.37765592790577845,-0.4296476996176008,-0.43517721987256663,0.39067682832740636
total_volume_pool,0.3826568285155618,0.39504124276456143,1.0,0.3617236490237558,0.34435669840344413,-0.3976473544830219,0.3533542139142933,-0.39507299990518613,-0.4206661241069901,0.37544942403151516
revenue_per_kent_leg,0.35739843227346774,0.3981147449807155,0.3617236490237558,1.0,0.31516217875826263,-0.41672185316643046,0.35491160700739144,-0.40389559869309233,-0.3817492039053048,0.3761550939711453
high_acuity_share,0.31893499068248965,0.35292081596236824,0.34435669840344413,0.31516217875826263,1.0,-0.35762316004123423,0.3123004732884463,-0.38099342745141856,-0.3358973266148845,0.33698763815391625
non_billable_noshow,-0.4185869532348665,-0.450982265046602,-0.3976473544830219,-0.41672185316643046,-0.35762316004123423,1.0,-0.4264994607557379,0.4772634936707407,0.44465715051610466,-0.40109724456181206
road_hours_per_vehicle,0.37361813408936023,0.37765592790577845,0.3533542139142933,0.35491160700739144,0.3123004732884463,-0.4264994607557379,1.0,-0.41499056817098423,-0.39713226267335544,0.3706035011850515
contract_concentration,-0.41676114554681326,-0.4296476996176008,-0.39507299990518613,-0.40389559869309233,-0.38099342745141856,0.4772634936707407,-0.41499056817098423,1.0,0.4538765581770741,-0.3934095132222469
cost_per_road_hour,-0.4066793169074188,-0.43517721987256663,-0.4206661241069901,-0.3817492039053048,-0.3358973266148845,0.44465715051610466,-0.39713226267335544,0.4538765581770741,1.0,-0.39701352421662356
label_ready,0.3752591666862797,0.39067682832740636,0.37544942403151516,0.3761550939711453,0.33698763815391625,-0.40109724456181206,0.3706035011850515,-0.3934095132222469,-0.39701352421662356,1.0
