column,table,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
order_mileage,contract_volume_base,8087.0,15.33274514653147,19.89262326176956,0.1,0.54,1.02,4.38,8.0,16.0,60.0,90.77020000000046,254.37
order_price,contract_volume_base,8087.0,53.617079263014716,87.04659231634076,0.0,0.0,0.0,0.0,46.0,71.275,152.58399999999997,468.26,1545.72
date_of_service,contract_volume_base,8087.0,46037.51007790281,9.762837769685882,46020.0,46020.0,46021.0,46029.0,46037.0,46045.0,46051.0,46052.0,46053.0
pick_up_time,contract_volume_base,8087.0,46038.00361669494,9.765354910078521,46020.21527777778,46020.43312885772,46021.5,46029.60381944444,46037.60416666666,46045.647569444445,46051.66666666666,46052.639861111114,46053.69097222222
offset,contract_volume_base,8087.0,7.332745146531471,19.89262326176956,-7.9,-7.46,-6.98,-3.62,0.0,8.0,52.0,82.77020000000046,246.37
over_under,contract_volume_base,8087.0,0.3491783403110224,0.9472677743699791,-0.3761904761904761,-0.3552380952380952,-0.3323809523809523,-0.1723809523809523,0.0,0.3809523809523809,2.4761904761904763,3.9414380952381176,11.731904761904762
mileage_kent_legs,contract_volume_base,8087.0,1.1864213582057033,0.6232599035976746,1.0,1.0,1.0,1.0,1.0,1.0,2.4761904761904763,3.9414380952381176,11.731904761904762
kent_legs,contract_volume_base,8087.0,1.3378990384332288,0.9129104487378913,1.0,1.0,1.0,1.0,1.0,1.0,3.4761904761904763,4.941438095238118,12.731904761904762
date,driver_active_time_base,773.0,46036.56403622251,9.72098314068511,46020.0,46020.0,46021.0,46029.0,46036.0,46044.0,46051.0,46052.0,46053.0
road_time,driver_active_time_base,773.0,8.678862296967084,2.790665635251105,0.0,0.0,4.340833333333333,7.8483333333333345,8.418611111111112,9.712222222222222,12.94961111111111,18.203577777777777,19.69555555555556
active_time,driver_active_time_base,773.0,6.537813712807244,2.6772318192410594,0.0,0.13679999999999995,2.198,5.17,6.59,7.74,11.123999999999999,15.173599999999997,17.35
row_count,missingness_audit,274.0,2097.383211678832,5023.109877153682,1.0,1.0,1.0,8.0,8.0,772.0,17927.0,17927.0,17927.0
missing_count,missingness_audit,274.0,596.8394160583941,2395.1798352071205,0.0,0.0,0.0,0.0,0.0,0.0,10197.0,10197.27,10199.0
missing_pct,missingness_audit,274.0,0.10144905474452555,0.26083329945478495,0.0,0.0,0.0,0.0,0.0,0.0,0.880952,1.0,1.0
nonblank_count,missingness_audit,274.0,1500.543795620438,3471.73358642977,0.0,0.0,1.0,8.0,8.0,772.0,8087.0,17927.0,17927.0
unique_nonblank_count,missingness_audit,274.0,134.56204379562044,508.3159131534625,0.0,0.0,1.0,1.0,5.0,11.75,679.2499999999989,3414.4999999999973,3803.0
order_mileage,mode_breakdown_base,7730.0,15.367135834411384,19.96731047463708,0.1,0.54,1.02,4.3025,8.0,16.0,60.0,90.42790000000001,254.37
order_price,mode_breakdown_base,7730.0,53.907688227684346,88.37679163751561,0.0,0.0,0.0,0.0,45.9,71.61,156.2529999999988,477.8359000000001,1545.72
date_of_service,mode_breakdown_base,7730.0,46037.90310478654,9.808968632531753,46020.0,46020.0,46021.0,46030.0,46038.0,46048.0,46051.0,46052.0,46053.0
pick_up_time,mode_breakdown_base,7730.0,46038.39637258043,9.811800452207336,46020.21527777778,46020.42708333334,46021.485938804995,46030.5296875,46038.42708333334,46048.29770833333,46051.71176408831,46052.64583333334,46053.69097222222
offset,mode_breakdown_base,17927.0,-1.3737959502426504,15.159936920227635,-8.0,-8.0,-8.0,-8.0,-8.0,-1.1500000000000004,29.57,64.02,246.37
over_under,mode_breakdown_base,17927.0,-0.0654188547734595,0.7219017581060777,-0.3809523809523809,-0.3809523809523809,-0.3809523809523809,-0.3809523809523809,-0.3809523809523809,-0.054761904761904776,1.408095238095238,3.0485714285714285,11.731904761904762
mileage_kent_legs,mode_breakdown_base,17927.0,1.0809341854664551,0.42191616840347385,1.0,1.0,1.0,1.0,1.0,1.0,1.408095238095238,3.0485714285714285,11.731904761904762
kent_legs,mode_breakdown_base,17927.0,1.1465335607105005,0.6249568898380425,1.0,1.0,1.0,1.0,1.0,1.0,2.408095238095238,4.048571428571428,12.731904761904762
trip_count,mode_breakdown_base,17927.0,0.4311931723099236,0.4952568046778689,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
order_count,mode_summary_base,215.0,37.61395348837209,37.677738174193266,1.0,1.0,2.0,6.0,11.0,70.5,101.29999999999998,114.85999999999999,130.0
sum_order_price,mode_summary_base,215.0,2016.7503255813956,2791.313116274216,0.0,0.0,0.0,120.41499999999999,503.17,3586.7,7666.379,9128.957199999997,10915.60000000001
sum_order_mileage,mode_summary_base,215.0,576.7251627906977,633.3612321440538,1.0,6.0,6.259,55.21,155.38000000000002,1031.64,1751.1709999999998,2347.954199999996,2502.4799999999996
sum_kent_legs,mode_summary_base,215.0,50.32367220376522,50.98503644522411,1.0,1.0,2.0,7.0,13.795238095238096,95.6195238095238,135.39076190476186,163.97800952380948,179.15428571428575
completed_count,mode_summary_base,215.0,19.75813953488372,35.716133115817485,0.0,0.0,0.0,0.0,0.0,8.5,98.59999999999997,113.85999999999999,130.0
