column,dtype
submission_id,str
organization_name,str
organization_type,str
facility_or_program_name,str
primary_service_area_market,str
primary_city_state,str
primary_contact_name,str
contact_title,str
contact_email,str
contact_phone,str
data_period_start,str
data_period_end,str
contract_payer_name,str
payer_type,str
expected_go_live_timing,str
primary_source_of_trips,str
default_billing_basis,str
average_payment_term,str
trip_scheduling_lead_time,str
billable_no_show_allowed,str
billable_late_cancel,str
ambulatory_avg_price_per_trip,float64
wheelchair_avg_price_per_trip,float64
stretcher_alt_avg_price_per_trip,float64
securecare_avg_price_per_trip,float64
other_mode_avg_price_per_trip,float64
other_mode_description,float64
typical_destinations_facilities_served,str
known_access_hours_handoff_constraints,str
additional_comments,str
intake_completion_status,str
billable_protection_present,str
higher_acuity_pricing_entered,str
workbook_variant,str
source_sheet,str
source_row,int64
row_id,float64
contract_program,str
source_type,str
volume_class,str
service_category,str
trip_mode,str
higher_acuity,str
pickup_zone_zip,int64
dropoff_zone_zip,str
avg_one_way_miles,float64
completed_trips_week,float64
billable_no_shows_week,float64
non_billable_no_shows_week,float64
mon,float64
tue,float64
wed,float64
thu,float64
fri,float64
sat,float64
sun,float64
avg_revenue_completed_trip,float64
avg_revenue_billable_no_show,float64
recurring,str
booking_notice_hrs,float64
notes,str
weekly_total_days,int64
billed_trips_week,int64
non_billable_ns,float64
billed_utilization_index,float64
revenue_week,int64
ha_trips_week,float64
row_status,str
