,0
other_mode_description,1.0
other_mode_avg_price_per_trip,1.0
submission_id,0.0
dropoff_zone_zip,0.0
workbook_variant,0.0
source_sheet,0.0
source_row,0.0
row_id,0.0
contract_program,0.0
source_type,0.0
volume_class,0.0
service_category,0.0
trip_mode,0.0
higher_acuity,0.0
pickup_zone_zip,0.0
avg_one_way_miles,0.0
billable_protection_present,0.0
completed_trips_week,0.0
billable_no_shows_week,0.0
non_billable_no_shows_week,0.0
mon,0.0
tue,0.0
wed,0.0
thu,0.0
fri,0.0
sat,0.0
sun,0.0
avg_revenue_completed_trip,0.0
avg_revenue_billable_no_show,0.0
recurring,0.0
higher_acuity_pricing_entered,0.0
intake_completion_status,0.0
organization_name,0.0
additional_comments,0.0
organization_type,0.0
facility_or_program_name,0.0
primary_service_area_market,0.0
primary_city_state,0.0
primary_contact_name,0.0
contact_title,0.0
contact_email,0.0
contact_phone,0.0
data_period_start,0.0
data_period_end,0.0
contract_payer_name,0.0
payer_type,0.0
expected_go_live_timing,0.0
primary_source_of_trips,0.0
default_billing_basis,0.0
average_payment_term,0.0
trip_scheduling_lead_time,0.0
billable_no_show_allowed,0.0
billable_late_cancel,0.0
ambulatory_avg_price_per_trip,0.0
wheelchair_avg_price_per_trip,0.0
stretcher_alt_avg_price_per_trip,0.0
securecare_avg_price_per_trip,0.0
typical_destinations_facilities_served,0.0
known_access_hours_handoff_constraints,0.0
booking_notice_hrs,0.0
