,0
percent_cost,0.8809523809523809
percent_revenue,0.8809523809523809
max_allowance,0.8809523809523809
office_wage_overhead,0.8809523809523809
overhead_balance_profit_margin,0.8809523809523809
overhead_balance_total_cost,0.8809523809523809
overhead_balance_total_revenue,0.8809523809523809
capx,0.35714285714285715
week_normalized,0.16666666666666666
fixed_overhead_cost,0.11904761904761904
scope_level,0.0
source_sheet,0.0
post_capx_margin,0.0
total_cost_check,0.0
scope_label,0.0
driver_wage,0.0
gas,0.0
fixed_operating_cost,0.0
dollar_profit,0.0
profit_margin,0.0
total_cost,0.0
total_revenue,0.0
day,0.0
source_row,0.0
