Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,high_acuity_share,0.0498093776,0-1,0-2,0-2,686.149841,705.720703,
0,1,0-1,Leaf,,,,,-0.079293035,140.25,
0,2,0-2,non_billable_noshow,0.100725584,0-3,0-4,0-4,354.437744,565.470703,
0,3,0-3,revenue_per_kent_leg,70.0001984,0-5,0-6,0-6,252.491913,512.470703,
0,4,0-4,Leaf,,,,,-0.0781549811,53.0,
0,5,0-5,Leaf,,,,,-0.0770104602,32.25,
0,6,0-6,contract_concentration,0.200034514,0-7,0-8,0-8,241.106537,480.220703,
0,7,0-7,vehicle_utilization,0.949723125,0-9,0-10,0-10,229.625427,452.970703,
0,8,0-8,Leaf,,,,,-0.0764850602,27.25,
0,9,0-9,Leaf,,,,,-0.0759100169,23.25,
0,10,0-10,Leaf,,,,,0.050435394,429.720703,
1,0,1-0,cost_per_road_hour,50.3312798,1-1,1-2,1-2,646.037109,709.61908,
1,1,1-1,road_hours_per_vehicle,9.00397682,1-3,1-4,1-4,350.161377,571.811646,
1,2,1-2,Leaf,,,,,-0.0771371424,137.807434,
1,3,1-3,Leaf,,,,,-0.0764414072,54.4279022,
1,4,1-4,total_volume_pool,1.20034683,1-5,1-6,1-6,265.700073,517.383728,
1,5,1-5,Leaf,,,,,-0.0767375901,34.2129288,
1,6,1-6,billed_utilization,1.04988921,1-7,1-8,1-8,219.049438,483.170807,
1,7,1-7,Leaf,,,,,-0.0765498132,24.7270718,
1,8,1-8,contract_concentration,0.200034514,1-9,1-10,1-10,221.260864,458.443726,
1,9,1-9,Leaf,,,,,0.0497177318,434.72879,
1,10,1-10,Leaf,,,,,-0.0731691793,23.714941,
2,0,2-0,high_acuity_share,0.0498093776,2-1,2-2,2-2,606.507324,703.762329,
2,1,2-1,Leaf,,,,,-0.0742356554,138.774185,
2,2,2-2,cost_per_road_hour,50.3312798,2-3,2-4,2-4,327.603455,564.988159,
2,3,2-3,revenue_per_kent_leg,70.0001984,2-5,2-6,2-6,242.681641,511.674042,
2,4,2-4,Leaf,,,,,-0.0745324269,53.3141212,
2,5,2-5,Leaf,,,,,-0.0742093325,33.1652641,
2,6,2-6,contract_concentration,0.200034514,2-7,2-8,2-8,222.733368,478.508759,
2,7,2-7,vehicle_utilization,0.949723125,2-9,2-10,2-10,215.579895,450.418152,
2,8,2-8,Leaf,,,,,-0.0712261125,28.0906181,
2,9,2-9,Leaf,,,,,-0.0744498074,22.7346687,
2,10,2-10,Leaf,,,,,0.0492316671,427.683472,
3,0,3-0,high_acuity_share,0.0498093776,3-1,3-2,3-2,566.073364,708.719604,
3,1,3-1,Leaf,,,,,-0.0717431754,139.356995,
3,2,3-2,cost_per_road_hour,50.3312798,3-3,3-4,3-4,322.758789,569.36261,
3,3,3-3,non_billable_noshow,0.100725584,3-5,3-6,3-6,233.302124,513.095276,
3,4,3-4,Leaf,,,,,-0.0720833987,56.2673111,
3,5,3-5,revenue_per_kent_leg,70.0001984,3-7,3-8,3-8,200.503357,480.518707,
3,6,3-6,Leaf,,,,,-0.0738860071,32.5765762,
3,7,3-7,Leaf,,,,,-0.0715969875,25.6194801,
3,8,3-8,contract_concentration,0.200034514,3-9,3-10,3-10,200.675598,454.899231,
3,9,3-9,Leaf,,,,,0.0474935099,430.696777,
3,10,3-10,Leaf,,,,,-0.0684976801,24.2024689,
4,0,4-0,high_acuity_share,0.0498093776,4-1,4-2,4-2,527.819458,698.689636,
4,1,4-1,Leaf,,,,,-0.06951572,136.663605,
4,2,4-2,billed_utilization,1.04988921,4-3,4-4,4-4,287.379181,562.026062,
4,3,4-3,Leaf,,,,,-0.0728065595,49.802002,
4,4,4-4,vehicle_utilization,0.949723125,4-5,4-6,4-6,223.130264,512.22406,
4,5,4-5,Leaf,,,,,-0.0718027875,33.1848907,
4,6,4-6,total_volume_pool,1.20034683,4-7,4-8,4-8,201.796265,479.039154,
4,7,4-7,Leaf,,,,,-0.074207224,25.1043358,
4,8,4-8,contract_concentration,0.200034514,4-9,4-10,4-10,193.212402,453.934814,
4,9,4-9,Leaf,,,,,0.0462406203,429.213867,
4,10,4-10,Leaf,,,,,-0.0664958879,24.720953,
5,0,5-0,road_hours_per_vehicle,9.00397682,5-1,5-2,5-2,512.604065,699.741089,
5,1,5-1,Leaf,,,,,-0.0694897026,132.902328,
5,2,5-2,high_acuity_share,0.0498093776,5-3,5-4,5-4,287.389496,566.838745,
5,3,5-3,Leaf,,,,,-0.0674615502,56.2032433,
5,4,5-4,cost_per_road_hour,50.3312798,5-5,5-6,5-6,209.294556,510.635529,
5,5,5-5,vehicle_utilization,0.949723125,5-7,5-8,5-8,183.350037,478.142731,
5,6,5-6,Leaf,,,,,-0.0695664957,32.4927788,
5,7,5-7,Leaf,,,,,-0.0700226128,24.743124,
5,8,5-8,billed_utilization,1.04988921,5-9,5-10,5-10,181.129578,453.399628,
5,9,5-9,Leaf,,,,,-0.0733038038,20.6332588,
5,10,5-10,Leaf,,,,,0.0450861603,432.766357,
6,0,6-0,non_billable_noshow,0.0997218192,6-1,6-2,6-2,452.354767,690.974609,
6,1,6-1,cost_per_road_hour,50.3312798,6-3,6-4,6-4,263.133209,559.869263,
6,2,6-2,non_billable_noshow,0.100725584,6-5,6-6,6-6,1.01724243,131.105301,
6,3,6-3,total_volume_pool,1.20034683,6-7,6-8,6-8,197.031464,505.422455,
6,4,6-4,Leaf,,,,,-0.0670162141,54.4468231,
6,5,6-5,Leaf,,,,,-0.024094969,2.90379977,
6,6,6-6,Leaf,,,,,-0.0673302338,128.201492,
6,7,6-7,Leaf,,,,,-0.0713421404,30.9437675,
6,8,6-8,vehicle_utilization,0.949723125,6-9,6-10,6-10,175.213104,474.478699,
6,9,6-9,Leaf,,,,,-0.0681197867,25.8063431,
6,10,6-10,billed_utilization,1.04988921,6-11,6-12,6-12,175.897186,448.672363,
6,11,6-11,Leaf,,,,,-0.0701940879,22.1944199,
6,12,6-12,Leaf,,,,,0.0427149273,426.477936,
7,0,7-0,revenue_per_kent_leg,70.0001984,7-1,7-2,7-2,437.030945,693.086792,
7,1,7-1,Leaf,,,,,-0.0658246055,130.685455,
7,2,7-2,cost_per_road_hour,50.3312798,7-3,7-4,7-4,250.436127,562.401367,
7,3,7-3,high_acuity_share,0.0498093776,7-5,7-6,7-6,197.202377,507.465881,
7,4,7-4,Leaf,,,,,-0.0651568472,54.935463,
7,5,7-5,Leaf,,,,,-0.0651626438,35.7998657,
7,6,7-6,non_billable_noshow,0.100725584,7-7,7-8,7-8,173.133209,471.666016,
7,7,7-7,total_volume_pool,1.20034683,7-9,7-10,7-10,159.055145,447.325226,
7,8,7-8,Leaf,,,,,-0.0707290322,24.3407917,
7,9,7-9,Leaf,,,,,-0.0710541084,19.9051361,
7,10,7-10,Leaf,,,,,0.0417141914,427.420074,
8,0,8-0,road_hours_per_vehicle,9.00397682,8-1,8-2,8-2,411.23175,687.440063,
8,1,8-1,Leaf,,,,,-0.0655141398,125.662476,
8,2,8-2,total_volume_pool,1.20034683,8-3,8-4,8-4,249.904388,561.777588,
8,3,8-3,Leaf,,,,,-0.0649720132,56.1495667,
8,4,8-4,contract_concentration,0.200034514,8-5,8-6,8-6,198.417496,505.628052,
8,5,8-5,billed_utilization,1.04988921,8-7,8-8,8-8,188.927063,469.764221,
8,6,8-6,Leaf,,,,,-0.0660817102,35.8638306,
8,7,8-7,Leaf,,,,,-0.0680347681,28.3417912,
8,8,8-8,high_acuity_share,0.0498093776,8-9,8-10,8-10,151.384521,441.422424,
8,9,8-9,Leaf,,,,,-0.0642879754,21.5456638,
8,10,8-10,Leaf,,,,,0.0419419073,419.87677,
9,0,9-0,road_hours_per_vehicle,9.00397682,9-1,9-2,9-2,395.942474,671.951538,
9,1,9-1,Leaf,,,,,-0.0636745319,124.752106,
9,2,9-2,revenue_per_kent_leg,70.0001984,9-3,9-4,9-4,250.552032,547.199402,
9,3,9-3,Leaf,,,,,-0.0655386299,54.4433022,
9,4,9-4,vehicle_utilization,0.949723125,9-5,9-6,9-6,174.668304,492.756104,
9,5,9-5,Leaf,,,,,-0.0657470897,31.3057461,
9,6,9-6,contract_concentration,0.200034514,9-7,9-8,9-8,160.815857,461.450378,
9,7,9-7,billed_utilization,1.04988921,9-9,9-10,9-10,156.544373,435.700165,
9,8,9-8,Leaf,,,,,-0.0647936016,25.7502136,
9,9,9-9,Leaf,,,,,-0.0664327964,21.5620403,
9,10,9-10,Leaf,,,,,0.0415750556,414.138123,
10,0,10-0,road_hours_per_vehicle,9.00397682,10-1,10-2,10-2,368.19458,666.869934,
10,1,10-1,Leaf,,,,,-0.0621675104,123.083702,
10,2,10-2,revenue_per_kent_leg,70.0001984,10-3,10-4,10-4,228.198853,543.786255,
10,3,10-3,Leaf,,,,,-0.0641220063,52.60672,
10,4,10-4,cost_per_road_hour,50.3312798,10-5,10-6,10-6,172.148285,491.179535,
10,5,10-5,non_billable_noshow,0.0997218192,10-7,10-8,10-8,155.673798,458.165527,
10,6,10-6,Leaf,,,,,-0.0640207604,33.0140076,
10,7,10-7,vehicle_utilization,0.949723125,10-9,10-10,10-10,154.127991,433.300964,
10,8,10-8,non_billable_noshow,0.100725584,10-11,10-12,10-12,1.04789734,24.8645725,
10,9,10-9,Leaf,,,,,-0.0661779195,21.8982849,
10,10,10-10,Leaf,,,,,0.0402514301,411.402679,
10,11,10-11,Leaf,,,,,-0.0212768558,2.38147712,
10,12,10-12,Leaf,,,,,-0.0693677291,22.4830952,
11,0,11-0,road_hours_per_vehicle,9.00397682,11-1,11-2,11-2,341.239471,664.413147,
11,1,11-1,Leaf,,,,,-0.0608659983,118.921074,
11,2,11-2,cost_per_road_hour,50.3312798,11-3,11-4,11-4,213.439102,545.492065,
11,3,11-3,revenue_per_kent_leg,70.0001984,11-5,11-6,11-6,171.253036,491.761261,
11,4,11-4,Leaf,,,,,-0.0612337403,53.7308311,
11,5,11-5,Leaf,,,,,-0.0646929219,32.9017982,
11,6,11-6,non_billable_noshow,0.0997218192,11-7,11-8,11-8,156.319611,458.859467,
11,7,11-7,contract_concentration,0.200034514,11-9,11-10,11-10,154.303558,432.494995,
11,8,11-8,non_billable_noshow,0.100725584,11-11,11-12,11-12,1.81833649,26.3644772,
11,9,11-9,Leaf,,,,,0.03979012,409.583435,
11,10,11-10,Leaf,,,,,-0.0645623803,22.9115524,
11,11,11-11,Leaf,,,,,-0.0150875449,2.14925671,
11,12,11-12,Leaf,,,,,-0.0675815195,24.2152214,
12,0,12-0,total_volume_pool,1.20034683,12-1,12-2,12-2,328.587616,653.240845,
12,1,12-1,Leaf,,,,,-0.0600170605,120.08255,
12,2,12-2,road_hours_per_vehicle,9.00397682,12-3,12-4,12-4,199.631592,533.158325,
12,3,12-3,Leaf,,,,,-0.0621140525,50.1487465,
12,4,12-4,vehicle_utilization,0.949723125,12-5,12-6,12-6,159.137421,483.009583,
12,5,12-5,Leaf,,,,,-0.0633068234,32.3515282,
12,6,12-6,revenue_per_kent_leg,70.0001984,12-7,12-8,12-8,152.625565,450.658051,
12,7,12-7,Leaf,,,,,-0.0642294884,26.4356174,
12,8,12-8,billed_utilization,1.04988921,12-9,12-10,12-10,142.109222,424.222443,
12,9,12-9,Leaf,,,,,-0.066962488,20.5674572,
12,10,12-10,Leaf,,,,,0.0381910801,403.654968,
13,0,13-0,total_volume_pool,1.20034683,13-1,13-2,13-2,306.230499,649.13147,
13,1,13-1,Leaf,,,,,-0.0588303506,115.090469,
13,2,13-2,contract_concentration,0.200034514,13-3,13-4,13-4,186.74971,534.041016,
13,3,13-3,revenue_per_kent_leg,70.0001984,13-5,13-6,13-6,153.655548,484.398499,
13,4,13-4,Leaf,,,,,-0.0601857752,49.6425095,
13,5,13-5,Leaf,,,,,-0.0616338477,32.8568382,
13,6,13-6,non_billable_noshow,0.0997218192,13-7,13-8,13-8,140.781387,451.541656,
13,7,13-7,cost_per_road_hour,50.3312798,13-9,13-10,13-10,145.73233,426.431091,
13,8,13-8,non_billable_noshow,0.100725584,13-11,13-12,13-12,0.765403748,25.110569,
13,9,13-9,Leaf,,,,,0.0376765989,403.084503,
13,10,13-10,Leaf,,,,,-0.0629107431,23.3465977,
13,11,13-11,Leaf,,,,,-0.0213304292,2.38063908,
13,12,13-12,Leaf,,,,,-0.066419825,22.7299309,
14,0,14-0,high_acuity_share,0.0498093776,14-1,14-2,14-2,300.500092,639.202454,
14,1,14-1,Leaf,,,,,-0.0577525422,117.373657,
14,2,14-2,road_hours_per_vehicle,9.00397682,14-3,14-4,14-4,186.519989,521.828796,
